node1,node2
A4GALT,ABO
A4GALT,AK3
A4GALT,ALG13
A4GALT,ALG14
A4GALT,ALG5
A4GALT,B3GALNT1
A4GALT,B3GALT1
A4GALT,B3GALT2
A4GALT,B3GALT4
A4GALT,B3GALT5
A4GALT,B3GALT6
A4GALT,B3GLCT
A4GALT,B3GNT3
A4GALT,B3GNT5
A4GALT,B3GNT6
A4GALT,B4GALNT1
A4GALT,B4GALT1
A4GALT,B4GALT2
A4GALT,B4GALT3
A4GALT,B4GALT4
A4GALT,B4GALT5
A4GALT,B4GALT6
A4GALT,B4GALT7
A4GALT,C1GALT1
A4GALT,CHPF2
A4GALT,CHSY1
A4GALT,CMPK1
A4GALT,CSGALNACT2
A4GALT,DPM2
A4GALT,ENTPD3
A4GALT,ENTPD4
A4GALT,ENTPD5
A4GALT,EXT1
A4GALT,EXTL1
A4GALT,EXTL3
A4GALT,GALC
A4GALT,GALNT4
A4GALT,GALT
A4GALT,GBGT1
A4GALT,GCNT1
A4GALT,GCNT3
A4GALT,GCNT4
A4GALT,GLA
A4GALT,GLB1
A4GALT,GXYLT1
A4GALT,HEXA
A4GALT,LFNG
A4GALT,MGAT1
A4GALT,MGAT2
A4GALT,MGAT3
A4GALT,MGAT4B
A4GALT,MGAT4C
A4GALT,MGAT5B
A4GALT,MGAT5
A4GALT,NME1
A4GALT,NME2P1
A4GALT,NME2
A4GALT,NME3
A4GALT,NME4
A4GALT,NME5
A4GALT,NME6
A4GALT,NME7
A4GALT,OGT
A4GALT,PFKP
A4GALT,PIGA
A4GALT,PIGC
A4GALT,PIGH
A4GALT,PIGP
A4GALT,PIGQ
A4GALT,PIGY
A4GALT,PLOD3
A4GALT,PNPT1
A4GALT,POGLUT1
A4GALT,POMGNT1
A4GALT,RRM1
A4GALT,RRM2B
A4GALT,RRM2
A4GALT,SI
A4GALT,ST3GAL5
A4GALT,UGCG
A4GALT,UGT1A10
A4GALT,UGT1A1
A4GALT,UGT1A3
A4GALT,UGT1A4
A4GALT,UGT1A5
A4GALT,UGT1A6
A4GALT,UGT1A7
A4GALT,UGT1A8
A4GALT,UGT1A9
A4GALT,UGT2A1
A4GALT,UGT2A2
A4GALT,UGT2A3
A4GALT,UGT2B10
A4GALT,UGT2B11
A4GALT,UGT2B15
A4GALT,UGT2B17
A4GALT,UGT2B28
A4GALT,UGT2B4
A4GALT,UGT2B7
A4GALT,UGT8
A4GNT,ENTPD4
AACS,AANAT
AACS,ACACA
AACS,ACACB
AACS,ACAT1
AACS,ACAT2
AACS,ACLY
AACS,ACOT12
AACS,ACOT6
AACS,ACP2
AACS,ACP3
AACS,ACP5
AACS,ACP6
AACS,ACSBG2
AACS,ACSL1
AACS,ACSL3
AACS,ACSL4
AACS,ACSL5
AACS,ACSM5
AACS,ACSS2
AACS,ADK
AACS,ADPGK
AACS,AK1
AACS,AK2
AACS,AK3
AACS,AK4
AACS,AK5
AACS,AK7
AACS,AK8
AACS,ALDH1A3
AACS,ALDH3A1
AACS,ALDH3B1
AACS,ALDH3B2
AACS,ALPG
AACS,ALPI
AACS,ALPL
AACS,ALPP
AACS,AMPD1
