algorithm	PC1	PC2
alanine__a_6672-omicsintegrator2-params-NIXQON6	-0.14756005382067008	3.4483758197055923
alanine__a_6672-omicsintegrator2-params-I5EKII6	-0.14756005382067008	3.4483758197055923
alanine__a_6672-omicsintegrator2-params-ON3OUHY	-0.14756005382067008	3.4483758197055923
alanine__a_6672-omicsintegrator2-params-RCXKAY7	-0.14756005382067008	3.4483758197055923
alanine__a_6672-omicsintegrator2-params-KMHTT5N	-0.14756005382067008	3.4483758197055923
alanine__a_6672-omicsintegrator2-params-JHH34ZE	-0.14756005382067008	3.4483758197055923
alanine__a_6672-omicsintegrator2-params-Z2C4Y5G	-0.14756005382067008	3.4483758197055923
alanine__a_6672-omicsintegrator2-params-R2T74G3	-0.14756005382067008	3.4483758197055923
alanine__a_6672-omicsintegrator2-params-O3SYN4K	-0.14756005382067008	3.4483758197055923
alanine__a_6672-omicsintegrator2-params-K2CK6DC	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-ISZN2DE	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-J5QF4A3	-0.14756005382067008	3.4483758197055923
alanine__a_6672-omicsintegrator2-params-ROZICUS	-0.14756005382067008	3.4483758197055923
alanine__a_6672-omicsintegrator2-params-B6FPMEP	-0.14756005382067008	3.4483758197055923
alanine__a_6672-omicsintegrator2-params-G6QWKUF	-0.14756005382067008	3.4483758197055923
alanine__a_6672-omicsintegrator2-params-RNOITRI	-0.14756005382067008	3.4483758197055923
alanine__a_6672-omicsintegrator2-params-24QHVS5	-0.14756005382067008	3.4483758197055923
alanine__a_6672-omicsintegrator2-params-H5EGTCE	-0.14756005382067008	3.4483758197055923
alanine__a_6672-omicsintegrator2-params-SX6MWZF	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-YYQQGSW	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-VKYXWNI	1.5827240059681398	0.6517010999760909
alanine__a_6672-omicsintegrator2-params-JMDFQGQ	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-2WECIOD	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-XLW3AU2	-0.14756005382067008	3.4483758197055923
alanine__a_6672-omicsintegrator2-params-TK757XH	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-G3MKBIH	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-62LFP5D	-0.14756005382067008	3.4483758197055923
alanine__a_6672-omicsintegrator2-params-QGDDCNR	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-BERGTKM	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-QUD5DGU	3.3459243058790697	-0.6289989469463992
alanine__a_6672-omicsintegrator2-params-VUTDEKI	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-G5PCTWW	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-BLZ4Z5H	3.3459243058790697	-0.6289989469463992
alanine__a_6672-omicsintegrator2-params-QA7UVT2	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-EUXS342	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-2ETE5TC	-0.14756005382067008	3.4483758197055923
alanine__a_6672-omicsintegrator2-params-XQYZBRY	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-K44Y7SY	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-RIX5P6Y	3.3459243058790697	-0.6289989469463992
alanine__a_6672-omicsintegrator2-params-KSSGLIJ	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-VOU2GLP	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-3XS3BUE	5.656889571290343	-1.3503186745135811
alanine__a_6672-omicsintegrator2-params-GWFZFC3	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-BBDIWEE	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-WSTZQ5T	9.433321718774481	-2.552663903003066
alanine__a_6672-omicsintegrator2-params-FCBNYQN	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-ZK2ZPTQ	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-E7S3CYK	3.3459243058790697	-0.6289989469463992
alanine__a_6672-omicsintegrator2-params-JDGM2QR	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-2VM5MQL	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-O2NMIFG	9.433321718774481	-2.552663903003066
alanine__a_6672-omicsintegrator2-params-GIILIYF	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-DGG4UVF	-1.7738321128655943	-2.1017898270413067
alanine__a_6672-omicsintegrator2-params-CIOIRMT	9.433321718774481	-2.552663903003066
