Node1	Node2	Frequency	Direction
FADS2_HUMAN	PA2G3_HUMAN	0.48148148148148145	U
FADS2_HUMAN	PA2GF_HUMAN	0.5185185185185185	U
FADS2_HUMAN	PG12A_HUMAN	0.48148148148148145	U
chebi:16238	chebi:80456	0.6111111111111112	U
chebi:80456	chebi:80457	0.6111111111111112	U
ACADS_HUMAN	FADS2_HUMAN	0.4444444444444444	U
ACADS_HUMAN	chebi:16238	0.4444444444444444	U
chebi:16238	chebi:18012	0.05555555555555555	U
chebi:17499	chebi:18012	0.05555555555555555	U
FADS2_HUMAN	chebi:32389	0.05555555555555555	U
chebi:17499	chebi:32389	0.05555555555555555	U
PA2G3_HUMAN	chebi:16870	0.037037037037037035	U
PA2GF_HUMAN	chebi:16870	0.037037037037037035	U
PA2GF_HUMAN	chebi:28936	0.037037037037037035	U
PG12A_HUMAN	chebi:28936	0.037037037037037035	U
