algorithm	PC1	PC2
aminoacyl_3887-omicsintegrator2-params-NIXQON6	3.8090891671163116	-0.41409217787931063
aminoacyl_3887-omicsintegrator2-params-I5EKII6	3.8090891671163116	-0.41409217787931063
aminoacyl_3887-omicsintegrator2-params-ON3OUHY	3.8090891671163116	-0.41409217787931063
aminoacyl_3887-omicsintegrator2-params-RCXKAY7	3.8090891671163116	-0.41409217787931063
aminoacyl_3887-omicsintegrator2-params-KMHTT5N	3.8090891671163116	-0.41409217787931063
aminoacyl_3887-omicsintegrator2-params-JHH34ZE	3.8090891671163116	-0.41409217787931063
aminoacyl_3887-omicsintegrator2-params-Z2C4Y5G	3.8090891671163116	-0.41409217787931063
aminoacyl_3887-omicsintegrator2-params-R2T74G3	3.8090891671163116	-0.41409217787931063
aminoacyl_3887-omicsintegrator2-params-O3SYN4K	3.8090891671163116	-0.41409217787931063
aminoacyl_3887-omicsintegrator2-params-K2CK6DC	2.6014272462806893	-0.08662168941662368
aminoacyl_3887-omicsintegrator2-params-ISZN2DE	2.6014272462806893	-0.08662168941662368
aminoacyl_3887-omicsintegrator2-params-J5QF4A3	1.9823472584593047	0.07303493112159257
aminoacyl_3887-omicsintegrator2-params-ROZICUS	3.8090891671163116	-0.41409217787931063
aminoacyl_3887-omicsintegrator2-params-B6FPMEP	3.8090891671163116	-0.41409217787931063
aminoacyl_3887-omicsintegrator2-params-G6QWKUF	3.8090891671163116	-0.41409217787931063
aminoacyl_3887-omicsintegrator2-params-RNOITRI	3.8090891671163116	-0.41409217787931063
aminoacyl_3887-omicsintegrator2-params-24QHVS5	3.8090891671163116	-0.41409217787931063
aminoacyl_3887-omicsintegrator2-params-H5EGTCE	3.8090891671163116	-0.41409217787931063
aminoacyl_3887-omicsintegrator2-params-SX6MWZF	-2.883918108618916	-1.1603593796232323
aminoacyl_3887-omicsintegrator2-params-YYQQGSW	-2.883918108618916	-1.1603593796232323
aminoacyl_3887-omicsintegrator2-params-VKYXWNI	1.3585559778120617	0.22819636437212196
aminoacyl_3887-omicsintegrator2-params-JMDFQGQ	-2.883918108618916	-1.1603593796232323
aminoacyl_3887-omicsintegrator2-params-2WECIOD	-2.883918108618916	-1.1603593796232323
aminoacyl_3887-omicsintegrator2-params-XLW3AU2	3.8090891671163116	-0.41409217787931063
aminoacyl_3887-omicsintegrator2-params-TK757XH	-2.883918108618916	-1.1603593796232323
aminoacyl_3887-omicsintegrator2-params-G3MKBIH	-2.883918108618916	-1.1603593796232323
aminoacyl_3887-omicsintegrator2-params-62LFP5D	3.8090891671163116	-0.41409217787931063
aminoacyl_3887-omicsintegrator2-params-QGDDCNR	-2.883918108618916	-1.1603593796232323
aminoacyl_3887-omicsintegrator2-params-BERGTKM	-2.883918108618916	-1.1603593796232323
aminoacyl_3887-omicsintegrator2-params-QUD5DGU	1.1217105145834494	2.9974142418399987
aminoacyl_3887-omicsintegrator2-params-VUTDEKI	-2.883918108618916	-1.1603593796232323
aminoacyl_3887-omicsintegrator2-params-G5PCTWW	-2.883918108618916	-1.1603593796232323
aminoacyl_3887-omicsintegrator2-params-BLZ4Z5H	-1.0662600455401543	3.1724244499113703
aminoacyl_3887-omicsintegrator2-params-QA7UVT2	-2.883918108618916	-1.1603593796232323
aminoacyl_3887-omicsintegrator2-params-EUXS342	-2.883918108618916	-1.1603593796232323
aminoacyl_3887-omicsintegrator2-params-2ETE5TC	3.8090891671163116	-0.41409217787931063
aminoacyl_3887-omicsintegrator2-params-XQYZBRY	-2.883918108618916	-1.1603593796232323
aminoacyl_3887-omicsintegrator2-params-K44Y7SY	-2.883918108618916	-1.1603593796232323
aminoacyl_3887-omicsintegrator2-params-RIX5P6Y	1.1217105145834494	2.9974142418399987
aminoacyl_3887-omicsintegrator2-params-KSSGLIJ	-2.883918108618916	-1.1603593796232323
aminoacyl_3887-omicsintegrator2-params-VOU2GLP	-2.883918108618916	-1.1603593796232323
aminoacyl_3887-omicsintegrator2-params-3XS3BUE	-2.548049907070646	5.752407305173337
aminoacyl_3887-omicsintegrator2-params-GWFZFC3	-2.883918108618916	-1.1603593796232323
aminoacyl_3887-omicsintegrator2-params-BBDIWEE	-2.883918108618916	-1.1603593796232323
aminoacyl_3887-omicsintegrator2-params-WSTZQ5T	-2.548049907070646	5.752407305173337
aminoacyl_3887-omicsintegrator2-params-FCBNYQN	-2.883918108618916	-1.1603593796232323
aminoacyl_3887-omicsintegrator2-params-ZK2ZPTQ	-2.883918108618916	-1.1603593796232323
aminoacyl_3887-omicsintegrator2-params-E7S3CYK	1.1217105145834494	2.9974142418399987
aminoacyl_3887-omicsintegrator2-params-JDGM2QR	-2.883918108618916	-1.1603593796232323
aminoacyl_3887-omicsintegrator2-params-2VM5MQL	-2.883918108618916	-1.1603593796232323
aminoacyl_3887-omicsintegrator2-params-O2NMIFG	-2.548049907070646	5.752407305173337
aminoacyl_3887-omicsintegrator2-params-GIILIYF	-2.883918108618916	-1.1603593796232323
aminoacyl_3887-omicsintegrator2-params-DGG4UVF	-2.883918108618916	-1.1603593796232323
aminoacyl_3887-omicsintegrator2-params-CIOIRMT	-2.548049907070646	5.752407305173337
