algorithm	PC1	PC2
beta_alani_2559-omicsintegrator2-params-NIXQON6	3.171544211099154	-0.8885362834339485
beta_alani_2559-omicsintegrator2-params-I5EKII6	3.171544211099154	-0.8885362834339485
beta_alani_2559-omicsintegrator2-params-ON3OUHY	3.171544211099154	-0.8885362834339485
beta_alani_2559-omicsintegrator2-params-RCXKAY7	3.171544211099154	-0.8885362834339485
beta_alani_2559-omicsintegrator2-params-KMHTT5N	3.171544211099154	-0.8885362834339485
beta_alani_2559-omicsintegrator2-params-JHH34ZE	3.171544211099154	-0.8885362834339485
beta_alani_2559-omicsintegrator2-params-Z2C4Y5G	3.171544211099154	-0.8885362834339485
beta_alani_2559-omicsintegrator2-params-R2T74G3	3.171544211099154	-0.8885362834339485
beta_alani_2559-omicsintegrator2-params-O3SYN4K	3.171544211099154	-0.8885362834339485
beta_alani_2559-omicsintegrator2-params-K2CK6DC	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-ISZN2DE	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-J5QF4A3	1.5601092314402463	-0.34539467397090223
beta_alani_2559-omicsintegrator2-params-ROZICUS	3.171544211099154	-0.8885362834339485
beta_alani_2559-omicsintegrator2-params-B6FPMEP	3.171544211099154	-0.8885362834339485
beta_alani_2559-omicsintegrator2-params-G6QWKUF	3.171544211099154	-0.8885362834339485
beta_alani_2559-omicsintegrator2-params-RNOITRI	3.171544211099154	-0.8885362834339485
beta_alani_2559-omicsintegrator2-params-24QHVS5	3.171544211099154	-0.8885362834339485
beta_alani_2559-omicsintegrator2-params-H5EGTCE	3.171544211099154	-0.8885362834339485
beta_alani_2559-omicsintegrator2-params-SX6MWZF	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-YYQQGSW	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-VKYXWNI	-0.0457757354269121	0.15332004604391491
beta_alani_2559-omicsintegrator2-params-JMDFQGQ	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-2WECIOD	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-XLW3AU2	3.171544211099154	-0.8885362834339485
beta_alani_2559-omicsintegrator2-params-TK757XH	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-G3MKBIH	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-62LFP5D	3.171544211099154	-0.8885362834339485
beta_alani_2559-omicsintegrator2-params-QGDDCNR	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-BERGTKM	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-QUD5DGU	-0.016767728815581806	2.4537358642556297
beta_alani_2559-omicsintegrator2-params-VUTDEKI	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-G5PCTWW	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-BLZ4Z5H	0.7825410807709794	2.2253643817429087
beta_alani_2559-omicsintegrator2-params-QA7UVT2	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-EUXS342	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-2ETE5TC	3.171544211099154	-0.8885362834339485
beta_alani_2559-omicsintegrator2-params-XQYZBRY	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-K44Y7SY	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-RIX5P6Y	-0.016767728815581806	2.4537358642556297
beta_alani_2559-omicsintegrator2-params-KSSGLIJ	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-VOU2GLP	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-3XS3BUE	-0.03715749029596202	7.220670300946983
beta_alani_2559-omicsintegrator2-params-GWFZFC3	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-BBDIWEE	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-WSTZQ5T	-0.03715749029596202	7.220670300946983
beta_alani_2559-omicsintegrator2-params-FCBNYQN	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-ZK2ZPTQ	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-E7S3CYK	-0.016767728815581806	2.4537358642556297
beta_alani_2559-omicsintegrator2-params-JDGM2QR	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-2VM5MQL	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-O2NMIFG	-0.03715749029596202	7.220670300946983
beta_alani_2559-omicsintegrator2-params-GIILIYF	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-DGG4UVF	-2.2763745088053264	-0.8570586710984482
beta_alani_2559-omicsintegrator2-params-CIOIRMT	-0.03715749029596202	7.220670300946983
