algorithm	PC1	PC2
biosynthes_4693-omicsintegrator2-params-NIXQON6	5.184661631319578	-0.15924324250900965
biosynthes_4693-omicsintegrator2-params-I5EKII6	5.184661631319578	-0.15924324250900965
biosynthes_4693-omicsintegrator2-params-ON3OUHY	5.184661631319578	-0.15924324250900965
biosynthes_4693-omicsintegrator2-params-RCXKAY7	5.184661631319578	-0.15924324250900965
biosynthes_4693-omicsintegrator2-params-KMHTT5N	5.184661631319578	-0.15924324250900965
biosynthes_4693-omicsintegrator2-params-JHH34ZE	5.184661631319578	-0.15924324250900965
biosynthes_4693-omicsintegrator2-params-Z2C4Y5G	5.184661631319578	-0.15924324250900965
biosynthes_4693-omicsintegrator2-params-R2T74G3	5.184661631319578	-0.15924324250900965
biosynthes_4693-omicsintegrator2-params-O3SYN4K	5.184661631319578	-0.15924324250900965
biosynthes_4693-omicsintegrator2-params-K2CK6DC	-0.7319996824406011	-1.910541733900985
biosynthes_4693-omicsintegrator2-params-ISZN2DE	-0.7319996824406011	-1.910541733900985
biosynthes_4693-omicsintegrator2-params-J5QF4A3	4.640629419205201	0.029179800438528664
biosynthes_4693-omicsintegrator2-params-ROZICUS	-0.7319996824406011	-1.910541733900985
biosynthes_4693-omicsintegrator2-params-B6FPMEP	-0.7319996824406011	-1.910541733900985
biosynthes_4693-omicsintegrator2-params-G6QWKUF	5.184661631319578	-0.15924324250900965
biosynthes_4693-omicsintegrator2-params-RNOITRI	5.184661631319578	-0.15924324250900965
biosynthes_4693-omicsintegrator2-params-24QHVS5	5.184661631319578	-0.15924324250900965
biosynthes_4693-omicsintegrator2-params-H5EGTCE	5.184661631319578	-0.15924324250900965
biosynthes_4693-omicsintegrator2-params-SX6MWZF	-2.406915893682916	-1.3559917232243153
biosynthes_4693-omicsintegrator2-params-YYQQGSW	-2.406915893682916	-1.3559917232243153
biosynthes_4693-omicsintegrator2-params-VKYXWNI	-0.15314488651546093	2.7291772100317315
biosynthes_4693-omicsintegrator2-params-JMDFQGQ	-2.406915893682916	-1.3559917232243153
biosynthes_4693-omicsintegrator2-params-2WECIOD	-2.406915893682916	-1.3559917232243153
biosynthes_4693-omicsintegrator2-params-XLW3AU2	1.1516775563120625	2.7516110926368227
biosynthes_4693-omicsintegrator2-params-TK757XH	-2.406915893682916	-1.3559917232243153
biosynthes_4693-omicsintegrator2-params-G3MKBIH	-2.406915893682916	-1.3559917232243153
biosynthes_4693-omicsintegrator2-params-62LFP5D	5.184661631319578	-0.15924324250900965
biosynthes_4693-omicsintegrator2-params-QGDDCNR	-2.406915893682916	-1.3559917232243153
biosynthes_4693-omicsintegrator2-params-BERGTKM	-2.406915893682916	-1.3559917232243153
biosynthes_4693-omicsintegrator2-params-QUD5DGU	-1.4119396780374809	2.600159187555215
biosynthes_4693-omicsintegrator2-params-VUTDEKI	-2.406915893682916	-1.3559917232243153
biosynthes_4693-omicsintegrator2-params-G5PCTWW	-2.406915893682916	-1.3559917232243153
biosynthes_4693-omicsintegrator2-params-BLZ4Z5H	-1.8791870108649666	5.100082719037699
biosynthes_4693-omicsintegrator2-params-QA7UVT2	-2.406915893682916	-1.3559917232243153
biosynthes_4693-omicsintegrator2-params-EUXS342	-2.406915893682916	-1.3559917232243153
biosynthes_4693-omicsintegrator2-params-2ETE5TC	-1.8791870108649666	5.100082719037699
biosynthes_4693-omicsintegrator2-params-XQYZBRY	-2.406915893682916	-1.3559917232243153
biosynthes_4693-omicsintegrator2-params-K44Y7SY	-2.406915893682916	-1.3559917232243153
biosynthes_4693-omicsintegrator2-params-RIX5P6Y	-1.4119396780374809	2.600159187555215
biosynthes_4693-omicsintegrator2-params-KSSGLIJ	-2.406915893682916	-1.3559917232243153
biosynthes_4693-omicsintegrator2-params-VOU2GLP	-2.406915893682916	-1.3559917232243153
biosynthes_4693-omicsintegrator2-params-3XS3BUE	-2.3840629233702857	4.726190646066378
biosynthes_4693-omicsintegrator2-params-GWFZFC3	-2.406915893682916	-1.3559917232243153
biosynthes_4693-omicsintegrator2-params-BBDIWEE	-2.406915893682916	-1.3559917232243153
biosynthes_4693-omicsintegrator2-params-WSTZQ5T	-2.3840629233702857	4.726190646066378
biosynthes_4693-omicsintegrator2-params-FCBNYQN	-2.406915893682916	-1.3559917232243153
biosynthes_4693-omicsintegrator2-params-ZK2ZPTQ	-2.406915893682916	-1.3559917232243153
biosynthes_4693-omicsintegrator2-params-E7S3CYK	-1.4119396780374809	2.600159187555215
biosynthes_4693-omicsintegrator2-params-JDGM2QR	-2.406915893682916	-1.3559917232243153
biosynthes_4693-omicsintegrator2-params-2VM5MQL	-2.406915893682916	-1.3559917232243153
biosynthes_4693-omicsintegrator2-params-O2NMIFG	-2.3840629233702857	4.726190646066378
biosynthes_4693-omicsintegrator2-params-GIILIYF	-2.406915893682916	-1.3559917232243153
biosynthes_4693-omicsintegrator2-params-DGG4UVF	-2.406915893682916	-1.3559917232243153
biosynthes_4693-omicsintegrator2-params-CIOIRMT	-2.3840629233702857	4.726190646066378
