algorithm	PC1	PC2
butanoate_4180-omicsintegrator2-params-NIXQON6	3.9148854307532184	-0.05980872026899029
butanoate_4180-omicsintegrator2-params-I5EKII6	3.9148854307532184	-0.05980872026899029
butanoate_4180-omicsintegrator2-params-ON3OUHY	3.9148854307532184	-0.05980872026899029
butanoate_4180-omicsintegrator2-params-RCXKAY7	3.9148854307532184	-0.05980872026899029
butanoate_4180-omicsintegrator2-params-KMHTT5N	3.9148854307532184	-0.05980872026899029
butanoate_4180-omicsintegrator2-params-JHH34ZE	3.9148854307532184	-0.05980872026899029
butanoate_4180-omicsintegrator2-params-Z2C4Y5G	3.9148854307532184	-0.05980872026899029
butanoate_4180-omicsintegrator2-params-R2T74G3	3.9148854307532184	-0.05980872026899029
butanoate_4180-omicsintegrator2-params-O3SYN4K	3.9148854307532184	-0.05980872026899029
butanoate_4180-omicsintegrator2-params-K2CK6DC	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-ISZN2DE	-0.8684008240189383	0.05312390334593017
butanoate_4180-omicsintegrator2-params-J5QF4A3	1.8429343166543826	-0.00926240495060019
butanoate_4180-omicsintegrator2-params-ROZICUS	3.9148854307532184	-0.05980872026899029
butanoate_4180-omicsintegrator2-params-B6FPMEP	3.9148854307532184	-0.05980872026899029
butanoate_4180-omicsintegrator2-params-G6QWKUF	3.9148854307532184	-0.05980872026899029
butanoate_4180-omicsintegrator2-params-RNOITRI	3.9148854307532184	-0.05980872026899029
butanoate_4180-omicsintegrator2-params-24QHVS5	3.9148854307532184	-0.05980872026899029
butanoate_4180-omicsintegrator2-params-H5EGTCE	3.9148854307532184	-0.05980872026899029
butanoate_4180-omicsintegrator2-params-SX6MWZF	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-YYQQGSW	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-VKYXWNI	1.1523389705014677	0.007296902813530037
butanoate_4180-omicsintegrator2-params-JMDFQGQ	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-2WECIOD	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-XLW3AU2	3.9148854307532184	-0.05980872026899029
butanoate_4180-omicsintegrator2-params-TK757XH	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-G3MKBIH	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-62LFP5D	3.9148854307532184	-0.05980872026899029
butanoate_4180-omicsintegrator2-params-QGDDCNR	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-BERGTKM	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-QUD5DGU	-0.21990927340600672	0.03946730703200204
butanoate_4180-omicsintegrator2-params-VUTDEKI	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-G5PCTWW	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-BLZ4Z5H	-0.8684008240189383	0.05312390334593017
butanoate_4180-omicsintegrator2-params-QA7UVT2	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-EUXS342	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-2ETE5TC	3.9148854307532184	-0.05980872026899029
butanoate_4180-omicsintegrator2-params-XQYZBRY	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-K44Y7SY	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-RIX5P6Y	-0.21990927340600672	0.03946730703200204
butanoate_4180-omicsintegrator2-params-KSSGLIJ	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-VOU2GLP	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-3XS3BUE	-0.8684008240189383	0.05312390334593017
butanoate_4180-omicsintegrator2-params-GWFZFC3	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-BBDIWEE	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-WSTZQ5T	-2.301292360650279	9.2776037068081
butanoate_4180-omicsintegrator2-params-FCBNYQN	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-ZK2ZPTQ	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-E7S3CYK	-0.21990927340600672	0.03946730703200204
butanoate_4180-omicsintegrator2-params-JDGM2QR	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-2VM5MQL	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-O2NMIFG	-2.301292360650279	9.2776037068081
butanoate_4180-omicsintegrator2-params-GIILIYF	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-DGG4UVF	-2.5317761466595234	-1.0812824913831685
butanoate_4180-omicsintegrator2-params-CIOIRMT	-2.301292360650279	9.2776037068081
