Node1	Node2	Frequency	Direction
HKDC1_HUMAN	LPH_HUMAN	0.48148148148148145	U
ADPGK_HUMAN	PGM2_HUMAN	0.48148148148148145	U
HKDC1_HUMAN	PGM2_HUMAN	0.5370370370370371	U
HKDC1_HUMAN	chebi:16761	0.46296296296296297	U
chebi:17677	chebi:4250	0.6111111111111112	U
chebi:16761	chebi:4250	0.46296296296296297	U
chebi:16634	chebi:17164	0.6111111111111112	U
LPH_HUMAN	chebi:4139	0.4444444444444444	U
chebi:17164	chebi:4139	0.5185185185185185	U
LPH_HUMAN	NEUR2_HUMAN	0.07407407407407407	U
LPH_HUMAN	chebi:17716	0.07407407407407407	U
HKDC1_HUMAN	TREA_HUMAN	0.05555555555555555	U
LPH_HUMAN	TREA_HUMAN	0.05555555555555555	U
NEUR2_HUMAN	chebi:17012	0.07407407407407407	U
chebi:17012	chebi:17677	0.07407407407407407	U
chebi:17716	chebi:4139	0.07407407407407407	U
ADPGK_HUMAN	chebi:15903	0.037037037037037035	U
HKDC1_HUMAN	chebi:15903	0.037037037037037035	U
