algorithm	PC1	PC2
glutathion_1590-omicsintegrator2-params-NIXQON6	-0.6458679096938191	-3.183988405607826
glutathion_1590-omicsintegrator2-params-I5EKII6	-0.6458679096938191	-3.183988405607826
glutathion_1590-omicsintegrator2-params-ON3OUHY	-0.6458679096938191	-3.183988405607826
glutathion_1590-omicsintegrator2-params-RCXKAY7	-0.6458679096938191	-3.183988405607826
glutathion_1590-omicsintegrator2-params-KMHTT5N	-0.6458679096938191	-3.183988405607826
glutathion_1590-omicsintegrator2-params-JHH34ZE	-0.6458679096938191	-3.183988405607826
glutathion_1590-omicsintegrator2-params-Z2C4Y5G	-0.6458679096938191	-3.183988405607826
glutathion_1590-omicsintegrator2-params-R2T74G3	-0.6458679096938191	-3.183988405607826
glutathion_1590-omicsintegrator2-params-O3SYN4K	-0.6458679096938191	-3.183988405607826
glutathion_1590-omicsintegrator2-params-K2CK6DC	-0.32460326005331175	-1.3076832446866378
glutathion_1590-omicsintegrator2-params-ISZN2DE	-0.49207757686380776	-1.9575045459174176
glutathion_1590-omicsintegrator2-params-J5QF4A3	-0.43905528436776325	-1.968240300138407
glutathion_1590-omicsintegrator2-params-ROZICUS	-0.6458679096938191	-3.183988405607826
glutathion_1590-omicsintegrator2-params-B6FPMEP	-0.6458679096938191	-3.183988405607826
glutathion_1590-omicsintegrator2-params-G6QWKUF	-0.6458679096938191	-3.183988405607826
glutathion_1590-omicsintegrator2-params-RNOITRI	-0.6458679096938191	-3.183988405607826
glutathion_1590-omicsintegrator2-params-24QHVS5	-0.6458679096938191	-3.183988405607826
glutathion_1590-omicsintegrator2-params-H5EGTCE	-0.6458679096938191	-3.183988405607826
glutathion_1590-omicsintegrator2-params-SX6MWZF	-0.9302709690635772	2.4729365590912034
glutathion_1590-omicsintegrator2-params-YYQQGSW	-0.9302709690635772	2.4729365590912034
glutathion_1590-omicsintegrator2-params-VKYXWNI	-0.3884418523032142	-1.3512798872253196
glutathion_1590-omicsintegrator2-params-JMDFQGQ	-1.26673605599847	3.6300307188829897
glutathion_1590-omicsintegrator2-params-2WECIOD	-1.26673605599847	3.6300307188829897
glutathion_1590-omicsintegrator2-params-XLW3AU2	-0.6458679096938191	-3.183988405607826
glutathion_1590-omicsintegrator2-params-TK757XH	-0.6458679096938191	-3.183988405607826
glutathion_1590-omicsintegrator2-params-G3MKBIH	-0.6458679096938191	-3.183988405607826
glutathion_1590-omicsintegrator2-params-62LFP5D	-0.6458679096938191	-3.183988405607826
glutathion_1590-omicsintegrator2-params-QGDDCNR	-0.9302709690635772	2.4729365590912034
glutathion_1590-omicsintegrator2-params-BERGTKM	-0.9302709690635772	2.4729365590912034
glutathion_1590-omicsintegrator2-params-QUD5DGU	-0.1703541034281691	-0.08449817308145204
glutathion_1590-omicsintegrator2-params-VUTDEKI	-1.26673605599847	3.6300307188829897
glutathion_1590-omicsintegrator2-params-G5PCTWW	-1.26673605599847	3.6300307188829897
glutathion_1590-omicsintegrator2-params-BLZ4Z5H	-0.5422321851332256	-2.5777637469157275
glutathion_1590-omicsintegrator2-params-QA7UVT2	-1.26673605599847	3.6300307188829897
glutathion_1590-omicsintegrator2-params-EUXS342	-1.26673605599847	3.6300307188829897
glutathion_1590-omicsintegrator2-params-2ETE5TC	-0.6458679096938191	-3.183988405607826
glutathion_1590-omicsintegrator2-params-XQYZBRY	-0.9302709690635772	2.4729365590912034
glutathion_1590-omicsintegrator2-params-K44Y7SY	-0.9302709690635772	2.4729365590912034
glutathion_1590-omicsintegrator2-params-RIX5P6Y	-0.1703541034281691	-0.08449817308145204
glutathion_1590-omicsintegrator2-params-KSSGLIJ	-1.26673605599847	3.6300307188829897
glutathion_1590-omicsintegrator2-params-VOU2GLP	-1.26673605599847	3.6300307188829897
glutathion_1590-omicsintegrator2-params-3XS3BUE	7.414015598941754	0.47149784695297564
glutathion_1590-omicsintegrator2-params-GWFZFC3	-1.26673605599847	3.6300307188829897
glutathion_1590-omicsintegrator2-params-BBDIWEE	-1.26673605599847	3.6300307188829897
glutathion_1590-omicsintegrator2-params-WSTZQ5T	7.363402166877205	-0.1454625659601121
glutathion_1590-omicsintegrator2-params-FCBNYQN	-0.9302709690635772	2.4729365590912034
glutathion_1590-omicsintegrator2-params-ZK2ZPTQ	-0.9302709690635772	2.4729365590912034
glutathion_1590-omicsintegrator2-params-E7S3CYK	-0.1703541034281691	-0.08449817308145204
glutathion_1590-omicsintegrator2-params-JDGM2QR	-1.26673605599847	3.6300307188829897
glutathion_1590-omicsintegrator2-params-2VM5MQL	-1.26673605599847	3.6300307188829897
glutathion_1590-omicsintegrator2-params-O2NMIFG	7.414015598941754	0.47149784695297564
glutathion_1590-omicsintegrator2-params-GIILIYF	-1.26673605599847	3.6300307188829897
glutathion_1590-omicsintegrator2-params-DGG4UVF	-1.26673605599847	3.6300307188829897
glutathion_1590-omicsintegrator2-params-CIOIRMT	18.59986983460869	1.6942786912470025
