Node1	Node2	Frequency	Direction
ALG3_HUMAN	ALG8_HUMAN	0.6851851851851852	U
ALG8_HUMAN	ALG9_HUMAN	0.6851851851851852	U
ALG8_HUMAN	GPT_HUMAN	0.5925925925925926	U
ALG8_HUMAN	chebi:15812	0.6851851851851852	U
B4GT3_HUMAN	chebi:67119	0.5185185185185185	U
ALG8_HUMAN	DOLK_HUMAN	0.6851851851851852	U
GPT_HUMAN	MGAT2_HUMAN	0.5185185185185185	U
chebi:15812	chebi:17659	0.6111111111111112	U
chebi:139513	chebi:17659	0.6851851851851852	U
chebi:17659	chebi:67119	0.5185185185185185	U
B4GT3_HUMAN	chebi:142448	0.07407407407407407	U
chebi:17659	chebi:61235	0.07407407407407407	U
chebi:142448	chebi:67119	0.07407407407407407	U
chebi:61235	chebi:67119	0.07407407407407407	U
MGAT2_HUMAN	chebi:60615	0.037037037037037035	U
chebi:139513	chebi:16264	0.037037037037037035	U
chebi:16264	chebi:60615	0.037037037037037035	U
