algorithm	labels
one_carbon_3035-omicsintegrator2-params-NIXQON6	3
one_carbon_3035-omicsintegrator2-params-I5EKII6	3
one_carbon_3035-omicsintegrator2-params-ON3OUHY	3
one_carbon_3035-omicsintegrator2-params-RCXKAY7	3
one_carbon_3035-omicsintegrator2-params-KMHTT5N	3
one_carbon_3035-omicsintegrator2-params-JHH34ZE	3
one_carbon_3035-omicsintegrator2-params-Z2C4Y5G	3
one_carbon_3035-omicsintegrator2-params-R2T74G3	3
one_carbon_3035-omicsintegrator2-params-O3SYN4K	3
one_carbon_3035-omicsintegrator2-params-K2CK6DC	2
one_carbon_3035-omicsintegrator2-params-ISZN2DE	2
one_carbon_3035-omicsintegrator2-params-J5QF4A3	3
one_carbon_3035-omicsintegrator2-params-ROZICUS	3
one_carbon_3035-omicsintegrator2-params-B6FPMEP	3
one_carbon_3035-omicsintegrator2-params-G6QWKUF	3
one_carbon_3035-omicsintegrator2-params-RNOITRI	3
one_carbon_3035-omicsintegrator2-params-24QHVS5	3
one_carbon_3035-omicsintegrator2-params-H5EGTCE	3
one_carbon_3035-omicsintegrator2-params-SX6MWZF	2
one_carbon_3035-omicsintegrator2-params-YYQQGSW	2
one_carbon_3035-omicsintegrator2-params-VKYXWNI	1
one_carbon_3035-omicsintegrator2-params-JMDFQGQ	3
one_carbon_3035-omicsintegrator2-params-2WECIOD	3
one_carbon_3035-omicsintegrator2-params-XLW3AU2	3
one_carbon_3035-omicsintegrator2-params-TK757XH	3
one_carbon_3035-omicsintegrator2-params-G3MKBIH	3
one_carbon_3035-omicsintegrator2-params-62LFP5D	3
one_carbon_3035-omicsintegrator2-params-QGDDCNR	2
one_carbon_3035-omicsintegrator2-params-BERGTKM	2
one_carbon_3035-omicsintegrator2-params-QUD5DGU	1
one_carbon_3035-omicsintegrator2-params-VUTDEKI	2
one_carbon_3035-omicsintegrator2-params-G5PCTWW	2
one_carbon_3035-omicsintegrator2-params-BLZ4Z5H	3
one_carbon_3035-omicsintegrator2-params-QA7UVT2	3
one_carbon_3035-omicsintegrator2-params-EUXS342	3
one_carbon_3035-omicsintegrator2-params-2ETE5TC	3
one_carbon_3035-omicsintegrator2-params-XQYZBRY	2
one_carbon_3035-omicsintegrator2-params-K44Y7SY	2
one_carbon_3035-omicsintegrator2-params-RIX5P6Y	1
one_carbon_3035-omicsintegrator2-params-KSSGLIJ	2
one_carbon_3035-omicsintegrator2-params-VOU2GLP	2
one_carbon_3035-omicsintegrator2-params-3XS3BUE	0
one_carbon_3035-omicsintegrator2-params-GWFZFC3	2
one_carbon_3035-omicsintegrator2-params-BBDIWEE	2
one_carbon_3035-omicsintegrator2-params-WSTZQ5T	0
one_carbon_3035-omicsintegrator2-params-FCBNYQN	2
one_carbon_3035-omicsintegrator2-params-ZK2ZPTQ	2
one_carbon_3035-omicsintegrator2-params-E7S3CYK	1
one_carbon_3035-omicsintegrator2-params-JDGM2QR	2
one_carbon_3035-omicsintegrator2-params-2VM5MQL	2
one_carbon_3035-omicsintegrator2-params-O2NMIFG	0
one_carbon_3035-omicsintegrator2-params-GIILIYF	2
one_carbon_3035-omicsintegrator2-params-DGG4UVF	2
one_carbon_3035-omicsintegrator2-params-CIOIRMT	0
