algorithm	labels
pentose_an_5502-omicsintegrator2-params-NIXQON6	7
pentose_an_5502-omicsintegrator2-params-I5EKII6	7
pentose_an_5502-omicsintegrator2-params-ON3OUHY	7
pentose_an_5502-omicsintegrator2-params-RCXKAY7	7
pentose_an_5502-omicsintegrator2-params-KMHTT5N	7
pentose_an_5502-omicsintegrator2-params-JHH34ZE	7
pentose_an_5502-omicsintegrator2-params-Z2C4Y5G	7
pentose_an_5502-omicsintegrator2-params-R2T74G3	7
pentose_an_5502-omicsintegrator2-params-O3SYN4K	7
pentose_an_5502-omicsintegrator2-params-K2CK6DC	3
pentose_an_5502-omicsintegrator2-params-ISZN2DE	3
pentose_an_5502-omicsintegrator2-params-J5QF4A3	5
pentose_an_5502-omicsintegrator2-params-ROZICUS	7
pentose_an_5502-omicsintegrator2-params-B6FPMEP	7
pentose_an_5502-omicsintegrator2-params-G6QWKUF	7
pentose_an_5502-omicsintegrator2-params-RNOITRI	7
pentose_an_5502-omicsintegrator2-params-24QHVS5	7
pentose_an_5502-omicsintegrator2-params-H5EGTCE	7
pentose_an_5502-omicsintegrator2-params-SX6MWZF	3
pentose_an_5502-omicsintegrator2-params-YYQQGSW	3
pentose_an_5502-omicsintegrator2-params-VKYXWNI	6
pentose_an_5502-omicsintegrator2-params-JMDFQGQ	2
pentose_an_5502-omicsintegrator2-params-2WECIOD	2
pentose_an_5502-omicsintegrator2-params-XLW3AU2	7
pentose_an_5502-omicsintegrator2-params-TK757XH	2
pentose_an_5502-omicsintegrator2-params-G3MKBIH	2
pentose_an_5502-omicsintegrator2-params-62LFP5D	7
pentose_an_5502-omicsintegrator2-params-QGDDCNR	3
pentose_an_5502-omicsintegrator2-params-BERGTKM	3
pentose_an_5502-omicsintegrator2-params-QUD5DGU	6
pentose_an_5502-omicsintegrator2-params-VUTDEKI	1
pentose_an_5502-omicsintegrator2-params-G5PCTWW	1
pentose_an_5502-omicsintegrator2-params-BLZ4Z5H	5
pentose_an_5502-omicsintegrator2-params-QA7UVT2	1
pentose_an_5502-omicsintegrator2-params-EUXS342	1
pentose_an_5502-omicsintegrator2-params-2ETE5TC	7
pentose_an_5502-omicsintegrator2-params-XQYZBRY	3
pentose_an_5502-omicsintegrator2-params-K44Y7SY	3
pentose_an_5502-omicsintegrator2-params-RIX5P6Y	6
pentose_an_5502-omicsintegrator2-params-KSSGLIJ	1
pentose_an_5502-omicsintegrator2-params-VOU2GLP	1
pentose_an_5502-omicsintegrator2-params-3XS3BUE	8
pentose_an_5502-omicsintegrator2-params-GWFZFC3	1
pentose_an_5502-omicsintegrator2-params-BBDIWEE	1
pentose_an_5502-omicsintegrator2-params-WSTZQ5T	7
pentose_an_5502-omicsintegrator2-params-FCBNYQN	3
pentose_an_5502-omicsintegrator2-params-ZK2ZPTQ	3
pentose_an_5502-omicsintegrator2-params-E7S3CYK	6
pentose_an_5502-omicsintegrator2-params-JDGM2QR	1
pentose_an_5502-omicsintegrator2-params-2VM5MQL	1
pentose_an_5502-omicsintegrator2-params-O2NMIFG	4
pentose_an_5502-omicsintegrator2-params-GIILIYF	1
pentose_an_5502-omicsintegrator2-params-DGG4UVF	1
pentose_an_5502-omicsintegrator2-params-CIOIRMT	4
