Node1	Node2	Frequency	Direction
COX10_HUMAN	COX15_HUMAN	0.7037037037037037	U
COX10_HUMAN	HEMH_HUMAN	0.7037037037037037	U
UD110_HUMAN	chebi:18392	0.5555555555555556	U
UD13_HUMAN	chebi:18392	0.5555555555555556	U
chebi:15339	chebi:18392	0.6851851851851852	U
UD19_HUMAN	chebi:18392	0.5555555555555556	U
chebi:18392	chebi:4260	0.6851851851851852	U
HEMH_HUMAN	chebi:29033	0.7037037037037037	U
BGLR_HUMAN	chebi:4260	0.6851851851851852	U
chebi:17499	chebi:4260	0.6851851851851852	U
chebi:15380	chebi:17549	0.6481481481481481	U
HEM2_HUMAN	chebi:17549	0.6481481481481481	U
chebi:15339	chebi:15741	0.4444444444444444	U
chebi:15380	chebi:15741	0.4444444444444444	U
HEMH_HUMAN	PPOX_HUMAN	0.2962962962962963	U
AL1A1_HUMAN	PPOX_HUMAN	0.2962962962962963	U
AL1A1_HUMAN	UD13_HUMAN	0.2962962962962963	U
DCUP_HUMAN	HEM2_HUMAN	0.1111111111111111	U
DCUP_HUMAN	HEMH_HUMAN	0.1111111111111111	U
chebi:15339	chebi:17252	0.1111111111111111	U
chebi:15380	chebi:17908	0.1111111111111111	U
chebi:17252	chebi:17908	0.1111111111111111	U
