algorithm	labels
purine_met_9503-omicsintegrator2-params-NIXQON6	12
purine_met_9503-omicsintegrator2-params-I5EKII6	12
purine_met_9503-omicsintegrator2-params-ON3OUHY	12
purine_met_9503-omicsintegrator2-params-RCXKAY7	12
purine_met_9503-omicsintegrator2-params-KMHTT5N	12
purine_met_9503-omicsintegrator2-params-JHH34ZE	12
purine_met_9503-omicsintegrator2-params-Z2C4Y5G	12
purine_met_9503-omicsintegrator2-params-R2T74G3	12
purine_met_9503-omicsintegrator2-params-O3SYN4K	12
purine_met_9503-omicsintegrator2-params-K2CK6DC	8
purine_met_9503-omicsintegrator2-params-ISZN2DE	8
purine_met_9503-omicsintegrator2-params-J5QF4A3	9
purine_met_9503-omicsintegrator2-params-ROZICUS	3
purine_met_9503-omicsintegrator2-params-B6FPMEP	7
purine_met_9503-omicsintegrator2-params-G6QWKUF	12
purine_met_9503-omicsintegrator2-params-RNOITRI	3
purine_met_9503-omicsintegrator2-params-24QHVS5	7
purine_met_9503-omicsintegrator2-params-H5EGTCE	12
purine_met_9503-omicsintegrator2-params-SX6MWZF	6
purine_met_9503-omicsintegrator2-params-YYQQGSW	6
purine_met_9503-omicsintegrator2-params-VKYXWNI	11
purine_met_9503-omicsintegrator2-params-JMDFQGQ	4
purine_met_9503-omicsintegrator2-params-2WECIOD	4
purine_met_9503-omicsintegrator2-params-XLW3AU2	1
purine_met_9503-omicsintegrator2-params-TK757XH	4
purine_met_9503-omicsintegrator2-params-G3MKBIH	4
purine_met_9503-omicsintegrator2-params-62LFP5D	13
purine_met_9503-omicsintegrator2-params-QGDDCNR	6
purine_met_9503-omicsintegrator2-params-BERGTKM	6
purine_met_9503-omicsintegrator2-params-QUD5DGU	5
purine_met_9503-omicsintegrator2-params-VUTDEKI	4
purine_met_9503-omicsintegrator2-params-G5PCTWW	4
purine_met_9503-omicsintegrator2-params-BLZ4Z5H	1
purine_met_9503-omicsintegrator2-params-QA7UVT2	4
purine_met_9503-omicsintegrator2-params-EUXS342	4
purine_met_9503-omicsintegrator2-params-2ETE5TC	10
purine_met_9503-omicsintegrator2-params-XQYZBRY	6
purine_met_9503-omicsintegrator2-params-K44Y7SY	6
purine_met_9503-omicsintegrator2-params-RIX5P6Y	5
purine_met_9503-omicsintegrator2-params-KSSGLIJ	4
purine_met_9503-omicsintegrator2-params-VOU2GLP	4
purine_met_9503-omicsintegrator2-params-3XS3BUE	2
purine_met_9503-omicsintegrator2-params-GWFZFC3	4
purine_met_9503-omicsintegrator2-params-BBDIWEE	4
purine_met_9503-omicsintegrator2-params-WSTZQ5T	2
purine_met_9503-omicsintegrator2-params-FCBNYQN	6
purine_met_9503-omicsintegrator2-params-ZK2ZPTQ	6
purine_met_9503-omicsintegrator2-params-E7S3CYK	5
purine_met_9503-omicsintegrator2-params-JDGM2QR	4
purine_met_9503-omicsintegrator2-params-2VM5MQL	4
purine_met_9503-omicsintegrator2-params-O2NMIFG	0
purine_met_9503-omicsintegrator2-params-GIILIYF	4
purine_met_9503-omicsintegrator2-params-DGG4UVF	4
purine_met_9503-omicsintegrator2-params-CIOIRMT	0
