Node1	Node2	Frequency	Direction
AL3A2_HUMAN	BCAT2_HUMAN	0.48148148148148145	U
BCAT2_HUMAN	chebi:17191	0.6111111111111112	U
AL3A2_HUMAN	ECHP_HUMAN	0.5555555555555556	U
ECHP_HUMAN	chebi:27821	0.6296296296296297	U
IVD_HUMAN	chebi:16238	0.6481481481481481	U
PCCA_HUMAN	chebi:15539	0.6666666666666666	U
chebi:15539	chebi:16238	0.6481481481481481	U
chebi:15539	chebi:27821	0.6296296296296297	U
chebi:16015	chebi:16134	0.48148148148148145	U
chebi:16134	chebi:17191	0.6111111111111112	U
ODO2_HUMAN	chebi:80219	0.5185185185185185	U
ODO2_HUMAN	chebi:15524	0.5370370370370371	U
chebi:15524	chebi:16238	0.5370370370370371	U
PCCA_HUMAN	chebi:17544	0.07407407407407407	U
chebi:16015	chebi:17544	0.07407407407407407	U
chebi:16015	chebi:29750	0.07407407407407407	U
chebi:16134	chebi:29750	0.07407407407407407	U
