Node1	Node2	Frequency	Direction
GLNA_HUMAN	chebi:18050	0.6296296296296297	U
CPSM_HUMAN	GLSK_HUMAN	0.5555555555555556	U
GLSK_HUMAN	chebi:18050	0.48148148148148145	U
PYR1_HUMAN	chebi:18050	0.48148148148148145	U
chebi:16891	chebi:32816	0.6111111111111112	U
chebi:16027	chebi:18050	0.48148148148148145	U
chebi:16027	chebi:32816	0.48148148148148145	U
CPSM_HUMAN	chebi:17672	0.14814814814814814	U
chebi:17672	chebi:18050	0.14814814814814814	U
PYR1_HUMAN	chebi:17672	0.09259259259259259	U
chebi:16027	chebi:80612	0.07407407407407407	U
chebi:17544	chebi:18050	0.07407407407407407	U
chebi:18050	chebi:80612	0.07407407407407407	U
chebi:17544	chebi:32816	0.07407407407407407	U
