algorithm	PC1	PC2
alpha_lino_4263-omicsintegrator2-params-NIXQON6	-0.034242471645469	2.806413689014318
alpha_lino_4263-omicsintegrator2-params-I5EKII6	-0.034242471645469	2.806413689014318
alpha_lino_4263-omicsintegrator2-params-ON3OUHY	-0.034242471645469	2.806413689014318
alpha_lino_4263-omicsintegrator2-params-RCXKAY7	-0.034242471645469	2.806413689014318
alpha_lino_4263-omicsintegrator2-params-KMHTT5N	-0.034242471645469	2.806413689014318
alpha_lino_4263-omicsintegrator2-params-JHH34ZE	-0.034242471645469	2.806413689014318
alpha_lino_4263-omicsintegrator2-params-Z2C4Y5G	-0.034242471645469	2.806413689014318
alpha_lino_4263-omicsintegrator2-params-R2T74G3	-0.034242471645469	2.806413689014318
alpha_lino_4263-omicsintegrator2-params-O3SYN4K	-0.034242471645469	2.806413689014318
alpha_lino_4263-omicsintegrator2-params-K2CK6DC	-0.6971721523799743	0.5754477304802088
alpha_lino_4263-omicsintegrator2-params-ISZN2DE	-0.6971721523799743	0.5754477304802088
alpha_lino_4263-omicsintegrator2-params-J5QF4A3	0.0077078674733982245	1.3347837072340383
alpha_lino_4263-omicsintegrator2-params-ROZICUS	-0.034242471645469	2.806413689014318
alpha_lino_4263-omicsintegrator2-params-B6FPMEP	-0.034242471645469	2.806413689014318
alpha_lino_4263-omicsintegrator2-params-G6QWKUF	-0.034242471645469	2.806413689014318
alpha_lino_4263-omicsintegrator2-params-RNOITRI	-0.034242471645469	2.806413689014318
alpha_lino_4263-omicsintegrator2-params-24QHVS5	-0.034242471645469	2.806413689014318
alpha_lino_4263-omicsintegrator2-params-H5EGTCE	-0.034242471645469	2.806413689014318
alpha_lino_4263-omicsintegrator2-params-SX6MWZF	-1.2453746898703062	-2.3838886233468743
alpha_lino_4263-omicsintegrator2-params-YYQQGSW	-1.2453746898703062	-2.3838886233468743
alpha_lino_4263-omicsintegrator2-params-VKYXWNI	0.0077078674733982245	1.3347837072340383
alpha_lino_4263-omicsintegrator2-params-JMDFQGQ	-1.2453746898703062	-2.3838886233468743
alpha_lino_4263-omicsintegrator2-params-2WECIOD	-1.2453746898703062	-2.3838886233468743
alpha_lino_4263-omicsintegrator2-params-XLW3AU2	-0.034242471645469	2.806413689014318
alpha_lino_4263-omicsintegrator2-params-TK757XH	-1.2453746898703062	-2.3838886233468743
alpha_lino_4263-omicsintegrator2-params-G3MKBIH	-1.2453746898703062	-2.3838886233468743
alpha_lino_4263-omicsintegrator2-params-62LFP5D	-0.034242471645469	2.806413689014318
alpha_lino_4263-omicsintegrator2-params-QGDDCNR	-1.2453746898703062	-2.3838886233468743
alpha_lino_4263-omicsintegrator2-params-BERGTKM	-1.2453746898703062	-2.3838886233468743
alpha_lino_4263-omicsintegrator2-params-QUD5DGU	0.0077078674733982245	1.3347837072340383
alpha_lino_4263-omicsintegrator2-params-VUTDEKI	-1.2453746898703062	-2.3838886233468743
alpha_lino_4263-omicsintegrator2-params-G5PCTWW	-1.2453746898703062	-2.3838886233468743
alpha_lino_4263-omicsintegrator2-params-BLZ4Z5H	0.0077078674733982245	1.3347837072340383
alpha_lino_4263-omicsintegrator2-params-QA7UVT2	-1.2453746898703062	-2.3838886233468743
alpha_lino_4263-omicsintegrator2-params-EUXS342	-1.2453746898703062	-2.3838886233468743
alpha_lino_4263-omicsintegrator2-params-2ETE5TC	-0.034242471645469	2.806413689014318
alpha_lino_4263-omicsintegrator2-params-XQYZBRY	-1.2453746898703062	-2.3838886233468743
alpha_lino_4263-omicsintegrator2-params-K44Y7SY	-1.2453746898703062	-2.3838886233468743
alpha_lino_4263-omicsintegrator2-params-RIX5P6Y	0.0077078674733982245	1.3347837072340383
alpha_lino_4263-omicsintegrator2-params-KSSGLIJ	-1.2453746898703062	-2.3838886233468743
alpha_lino_4263-omicsintegrator2-params-VOU2GLP	-1.2453746898703062	-2.3838886233468743
alpha_lino_4263-omicsintegrator2-params-3XS3BUE	5.933514315694389	0.04550255481107779
alpha_lino_4263-omicsintegrator2-params-GWFZFC3	-1.2453746898703062	-2.3838886233468743
alpha_lino_4263-omicsintegrator2-params-BBDIWEE	-1.2453746898703062	-2.3838886233468743
alpha_lino_4263-omicsintegrator2-params-WSTZQ5T	-0.034242471645469	2.806413689014318
alpha_lino_4263-omicsintegrator2-params-FCBNYQN	-1.2453746898703062	-2.3838886233468743
alpha_lino_4263-omicsintegrator2-params-ZK2ZPTQ	-1.2453746898703062	-2.3838886233468743
alpha_lino_4263-omicsintegrator2-params-E7S3CYK	0.0077078674733982245	1.3347837072340383
alpha_lino_4263-omicsintegrator2-params-JDGM2QR	-1.2453746898703062	-2.3838886233468743
alpha_lino_4263-omicsintegrator2-params-2VM5MQL	-1.2453746898703062	-2.3838886233468743
alpha_lino_4263-omicsintegrator2-params-O2NMIFG	12.977091151188215	-2.656816695061381
alpha_lino_4263-omicsintegrator2-params-GIILIYF	-1.2453746898703062	-2.3838886233468743
alpha_lino_4263-omicsintegrator2-params-DGG4UVF	-1.2453746898703062	-2.3838886233468743
alpha_lino_4263-omicsintegrator2-params-CIOIRMT	12.977091151188215	-2.656816695061381
