Node1	Node2	Frequency	Direction
ADPGK_HUMAN	chebi:17665	0.5925925925925926	U
GFPT1_HUMAN	HXK3_HUMAN	0.5185185185185185	U
HXK3_HUMAN	chebi:17665	0.6111111111111112	U
PGM1_HUMAN	chebi:17665	0.5925925925925926	U
PGM2_HUMAN	chebi:17665	0.6851851851851852	U
NEUA_HUMAN	SIAS_HUMAN	0.6666666666666666	U
chebi:16761	chebi:17665	0.6666666666666666	U
NEUA_HUMAN	chebi:17677	0.5185185185185185	U
chebi:16556	chebi:17677	0.5925925925925926	U
HXK3_HUMAN	chebi:28645	0.6666666666666666	U
SIAS_HUMAN	chebi:44897	0.6666666666666666	U
chebi:16761	chebi:44897	0.5185185185185185	U
NEUA_HUMAN	chebi:29025	0.14814814814814814	U
chebi:17677	chebi:29025	0.14814814814814814	U
chebi:16761	chebi:4250	0.09259259259259259	U
chebi:17677	chebi:4250	0.09259259259259259	U
GFPT1_HUMAN	NAGA_HUMAN	0.037037037037037035	U
HXK3_HUMAN	NAGA_HUMAN	0.037037037037037035	U
