algorithm	PC1	PC2
amino_suga_5376-omicsintegrator2-params-NIXQON6	4.388443699714799	0.47661541876662006
amino_suga_5376-omicsintegrator2-params-I5EKII6	4.388443699714799	0.47661541876662006
amino_suga_5376-omicsintegrator2-params-ON3OUHY	4.388443699714799	0.47661541876662006
amino_suga_5376-omicsintegrator2-params-RCXKAY7	4.388443699714799	0.47661541876662006
amino_suga_5376-omicsintegrator2-params-KMHTT5N	4.388443699714799	0.47661541876662006
amino_suga_5376-omicsintegrator2-params-JHH34ZE	4.388443699714799	0.47661541876662006
amino_suga_5376-omicsintegrator2-params-Z2C4Y5G	4.388443699714799	0.47661541876662006
amino_suga_5376-omicsintegrator2-params-R2T74G3	4.388443699714799	0.47661541876662006
amino_suga_5376-omicsintegrator2-params-O3SYN4K	4.388443699714799	0.47661541876662006
amino_suga_5376-omicsintegrator2-params-K2CK6DC	0.31438408784445065	-1.0908044685058076
amino_suga_5376-omicsintegrator2-params-ISZN2DE	0.31438408784445065	-1.0908044685058076
amino_suga_5376-omicsintegrator2-params-J5QF4A3	2.497419597833743	0.13042749718674596
amino_suga_5376-omicsintegrator2-params-ROZICUS	4.388443699714799	0.47661541876662006
amino_suga_5376-omicsintegrator2-params-B6FPMEP	4.388443699714799	0.47661541876662006
amino_suga_5376-omicsintegrator2-params-G6QWKUF	4.388443699714799	0.47661541876662006
amino_suga_5376-omicsintegrator2-params-RNOITRI	4.388443699714799	0.47661541876662006
amino_suga_5376-omicsintegrator2-params-24QHVS5	4.388443699714799	0.47661541876662006
amino_suga_5376-omicsintegrator2-params-H5EGTCE	4.388443699714799	0.47661541876662006
amino_suga_5376-omicsintegrator2-params-SX6MWZF	-1.6054599978412711	-1.4078410814911408
amino_suga_5376-omicsintegrator2-params-YYQQGSW	-1.6054599978412711	-1.4078410814911408
amino_suga_5376-omicsintegrator2-params-VKYXWNI	-0.7639729431170672	-0.4975111184659834
amino_suga_5376-omicsintegrator2-params-JMDFQGQ	-1.054651760111334	-1.3778849325889821
amino_suga_5376-omicsintegrator2-params-2WECIOD	-1.054651760111334	-1.3778849325889821
amino_suga_5376-omicsintegrator2-params-XLW3AU2	-0.21316470538713034	-0.4675549695638247
amino_suga_5376-omicsintegrator2-params-TK757XH	-1.054651760111334	-1.3778849325889821
amino_suga_5376-omicsintegrator2-params-G3MKBIH	-1.054651760111334	-1.3778849325889821
amino_suga_5376-omicsintegrator2-params-62LFP5D	4.388443699714799	0.47661541876662006
amino_suga_5376-omicsintegrator2-params-QGDDCNR	-1.6054599978412711	-1.4078410814911408
amino_suga_5376-omicsintegrator2-params-BERGTKM	-1.6054599978412711	-1.4078410814911408
amino_suga_5376-omicsintegrator2-params-QUD5DGU	-0.7639729431170672	-0.4975111184659834
amino_suga_5376-omicsintegrator2-params-VUTDEKI	-3.029497459175875	-0.6107663979357962
amino_suga_5376-omicsintegrator2-params-G5PCTWW	-3.029497459175875	-0.6107663979357962
amino_suga_5376-omicsintegrator2-params-BLZ4Z5H	-2.1880104044516715	0.29956356508936133
amino_suga_5376-omicsintegrator2-params-QA7UVT2	-3.029497459175875	-0.6107663979357962
amino_suga_5376-omicsintegrator2-params-EUXS342	-3.029497459175875	-0.6107663979357962
amino_suga_5376-omicsintegrator2-params-2ETE5TC	-2.1880104044516715	0.29956356508936133
amino_suga_5376-omicsintegrator2-params-XQYZBRY	-1.6054599978412711	-1.4078410814911408
amino_suga_5376-omicsintegrator2-params-K44Y7SY	-1.6054599978412711	-1.4078410814911408
amino_suga_5376-omicsintegrator2-params-RIX5P6Y	-0.7639729431170672	-0.4975111184659834
amino_suga_5376-omicsintegrator2-params-KSSGLIJ	-3.029497459175875	-0.6107663979357962
amino_suga_5376-omicsintegrator2-params-VOU2GLP	-3.029497459175875	-0.6107663979357962
amino_suga_5376-omicsintegrator2-params-3XS3BUE	-2.1880104044516715	0.29956356508936133
amino_suga_5376-omicsintegrator2-params-GWFZFC3	-3.029497459175875	-0.6107663979357962
amino_suga_5376-omicsintegrator2-params-BBDIWEE	-3.029497459175875	-0.6107663979357962
amino_suga_5376-omicsintegrator2-params-WSTZQ5T	-2.1880104044516715	0.29956356508936133
amino_suga_5376-omicsintegrator2-params-FCBNYQN	-1.6054599978412711	-1.4078410814911408
amino_suga_5376-omicsintegrator2-params-ZK2ZPTQ	-1.6054599978412711	-1.4078410814911408
amino_suga_5376-omicsintegrator2-params-E7S3CYK	-0.7639729431170672	-0.4975111184659834
amino_suga_5376-omicsintegrator2-params-JDGM2QR	-3.029497459175875	-0.6107663979357962
amino_suga_5376-omicsintegrator2-params-2VM5MQL	-3.029497459175875	-0.6107663979357962
amino_suga_5376-omicsintegrator2-params-O2NMIFG	-3.9519661700056523	9.894072540071935
amino_suga_5376-omicsintegrator2-params-GIILIYF	-3.029497459175875	-0.6107663979357962
amino_suga_5376-omicsintegrator2-params-DGG4UVF	-3.029497459175875	-0.6107663979357962
amino_suga_5376-omicsintegrator2-params-CIOIRMT	-3.9519661700056523	9.894072540071935
