Node1	Node2	Directionality
AKR1C3	chebi:27595	U
LOX12_HUMAN	LX12B_HUMAN	U
LOX12_HUMAN	LX15B_HUMAN	U
LX12B_HUMAN	LOX12_HUMAN	U
LX12B_HUMAN	LX15B_HUMAN	U
LX12B_HUMAN	CP2B6_HUMAN	U
LX12B_HUMAN	CP2CI_HUMAN	U
LX12B_HUMAN	CP2CJ_HUMAN	U
LX12B_HUMAN	CP2C8_HUMAN	U
LX12B_HUMAN	CP2C9_HUMAN	U
LX12B_HUMAN	CP2J2_HUMAN	U
LX12B_HUMAN	CP4AM_HUMAN	U
LX12B_HUMAN	JMJD7-PLA2G4B	U
LX12B_HUMAN	LPCT4_HUMAN	U
LX12B_HUMAN	PA2GX_HUMAN	U
LX12B_HUMAN	PG12A_HUMAN	U
LX12B_HUMAN	PG12B_HUMAN	U
LX12B_HUMAN	PA21B_HUMAN	U
LX12B_HUMAN	PA2GA_HUMAN	U
LX12B_HUMAN	PA2GC_HUMAN	U
LX12B_HUMAN	PA2GD_HUMAN	U
LX12B_HUMAN	PA2GE_HUMAN	U
LX12B_HUMAN	PA2GF_HUMAN	U
LX12B_HUMAN	PA2G3_HUMAN	U
LX12B_HUMAN	PA24A_HUMAN	U
LX12B_HUMAN	PA24B_HUMAN	U
LX12B_HUMAN	PA24E_HUMAN	U
LX12B_HUMAN	PA2G5_HUMAN	U
LX12B_HUMAN	PLPL9_HUMAN	U
LX12B_HUMAN	PLB1_HUMAN	U
LX12B_HUMAN	chebi:15843	U
LX12B_HUMAN	chebi:34145	U
LOX12_HUMAN	CP2B6_HUMAN	U
LOX12_HUMAN	CP2CI_HUMAN	U
LOX12_HUMAN	CP2CJ_HUMAN	U
LOX12_HUMAN	CP2C8_HUMAN	U
LOX12_HUMAN	CP2C9_HUMAN	U
LOX12_HUMAN	CP2J2_HUMAN	U
LOX12_HUMAN	CP4AM_HUMAN	U
LOX12_HUMAN	JMJD7-PLA2G4B	U
LOX12_HUMAN	LPCT4_HUMAN	U
LOX12_HUMAN	PA2GX_HUMAN	U
LOX12_HUMAN	PG12A_HUMAN	U
LOX12_HUMAN	PG12B_HUMAN	U
LOX12_HUMAN	PA21B_HUMAN	U
LOX12_HUMAN	PA2GA_HUMAN	U
LOX12_HUMAN	PA2GC_HUMAN	U
LOX12_HUMAN	PA2GD_HUMAN	U
LOX12_HUMAN	PA2GE_HUMAN	U
LOX12_HUMAN	PA2GF_HUMAN	U
LOX12_HUMAN	PA2G3_HUMAN	U
LOX12_HUMAN	PA24A_HUMAN	U
LOX12_HUMAN	PA24B_HUMAN	U
LOX12_HUMAN	PA24E_HUMAN	U
LOX12_HUMAN	PA2G5_HUMAN	U
LOX12_HUMAN	PLPL9_HUMAN	U
LOX12_HUMAN	PLB1_HUMAN	U
LOX12_HUMAN	chebi:15626	U
LOX12_HUMAN	chebi:15843	U
LX15B_HUMAN	LX12B_HUMAN	U
LX15B_HUMAN	LOX12_HUMAN	U
LX15B_HUMAN	CP2B6_HUMAN	U
LX15B_HUMAN	CP2CI_HUMAN	U
LX15B_HUMAN	CP2CJ_HUMAN	U
LX15B_HUMAN	CP2C8_HUMAN	U
LX15B_HUMAN	CP2C9_HUMAN	U
LX15B_HUMAN	CP2J2_HUMAN	U
LX15B_HUMAN	CP4AM_HUMAN	U
LX15B_HUMAN	JMJD7-PLA2G4B	U
LX15B_HUMAN	LPCT4_HUMAN	U
LX15B_HUMAN	PA2GX_HUMAN	U
LX15B_HUMAN	PG12A_HUMAN	U
LX15B_HUMAN	PG12B_HUMAN	U
LX15B_HUMAN	PA21B_HUMAN	U
LX15B_HUMAN	PA2GA_HUMAN	U
LX15B_HUMAN	PA2GC_HUMAN	U
LX15B_HUMAN	PA2GD_HUMAN	U
