Node1	Node2	Frequency	Direction
AL3A1_HUMAN	chebi:18090	0.6666666666666666	U
CRNS1_HUMAN	DCE1_HUMAN	0.48148148148148145	U
AL3A2_HUMAN	DCE1_HUMAN	0.48148148148148145	U
AL3A2_HUMAN	chebi:18090	0.6481481481481481	U
AL3A2_HUMAN	L2HDH_HUMAN	0.46296296296296297	U
chebi:15513	chebi:16238	0.6296296296296297	U
L2HDH_HUMAN	chebi:16238	0.46296296296296297	U
DCE1_HUMAN	chebi:16958	0.09259259259259259	U
chebi:16958	chebi:18090	0.09259259259259259	U
CRNS1_HUMAN	chebi:28712	0.09259259259259259	U
chebi:16958	chebi:28712	0.09259259259259259	U
chebi:15513	chebi:15539	0.07407407407407407	U
chebi:15539	chebi:27821	0.07407407407407407	U
chebi:27821	chebi:30860	0.07407407407407407	U
AL3A2_HUMAN	chebi:30860	0.07407407407407407	U
