Node1	Node2	Frequency	Direction
HACD1_HUMAN	TECR_HUMAN	0.7037037037037037	U
SCD5_HUMAN	TECR_HUMAN	0.6851851851851852	U
SCD5_HUMAN	chebi:15534	0.6851851851851852	U
chebi:15339	chebi:15534	0.6851851851851852	U
HACD1_HUMAN	chebi:50583	0.7037037037037037	U
chebi:15339	chebi:63545	0.6851851851851852	U
DHB12_HUMAN	OXSM_HUMAN	0.5740740740740741	U
DHB12_HUMAN	chebi:50583	0.5740740740740741	U
ACSL4_HUMAN	chebi:15756	0.5370370370370371	U
chebi:15756	chebi:5697	0.6296296296296297	U
OXSM_HUMAN	chebi:18359	0.6481481481481481	U
chebi:18359	chebi:5697	0.6296296296296297	U
chebi:16238	chebi:63540	0.6481481481481481	U
chebi:15339	chebi:18012	0.5555555555555556	U
chebi:16238	chebi:18012	0.5555555555555556	U
