algorithm	PC1	PC2
biosynthes_6470-omicsintegrator2-params-NIXQON6	5.6552330731378575	-0.2972852803087399
biosynthes_6470-omicsintegrator2-params-I5EKII6	5.6552330731378575	-0.2972852803087399
biosynthes_6470-omicsintegrator2-params-ON3OUHY	5.6552330731378575	-0.2972852803087399
biosynthes_6470-omicsintegrator2-params-RCXKAY7	5.6552330731378575	-0.2972852803087399
biosynthes_6470-omicsintegrator2-params-KMHTT5N	5.6552330731378575	-0.2972852803087399
biosynthes_6470-omicsintegrator2-params-JHH34ZE	5.6552330731378575	-0.2972852803087399
biosynthes_6470-omicsintegrator2-params-Z2C4Y5G	5.6552330731378575	-0.2972852803087399
biosynthes_6470-omicsintegrator2-params-R2T74G3	5.6552330731378575	-0.2972852803087399
biosynthes_6470-omicsintegrator2-params-O3SYN4K	5.6552330731378575	-0.2972852803087399
biosynthes_6470-omicsintegrator2-params-K2CK6DC	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-ISZN2DE	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-J5QF4A3	1.7600335146940695	0.010925577197426267
biosynthes_6470-omicsintegrator2-params-ROZICUS	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-B6FPMEP	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-G6QWKUF	5.6552330731378575	-0.2972852803087399
biosynthes_6470-omicsintegrator2-params-RNOITRI	5.6552330731378575	-0.2972852803087399
biosynthes_6470-omicsintegrator2-params-24QHVS5	5.6552330731378575	-0.2972852803087399
biosynthes_6470-omicsintegrator2-params-H5EGTCE	5.6552330731378575	-0.2972852803087399
biosynthes_6470-omicsintegrator2-params-SX6MWZF	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-YYQQGSW	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-VKYXWNI	0.48949069974546583	0.10901389401374344
biosynthes_6470-omicsintegrator2-params-JMDFQGQ	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-2WECIOD	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-XLW3AU2	-0.1729392870563229	4.05041650174585
biosynthes_6470-omicsintegrator2-params-TK757XH	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-G3MKBIH	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-62LFP5D	5.6552330731378575	-0.2972852803087399
biosynthes_6470-omicsintegrator2-params-QGDDCNR	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-BERGTKM	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-QUD5DGU	-1.0321506215801537	1.7507404894571965
biosynthes_6470-omicsintegrator2-params-VUTDEKI	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-G5PCTWW	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-BLZ4Z5H	-1.6945806083819426	5.6921430971893034
biosynthes_6470-omicsintegrator2-params-QA7UVT2	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-EUXS342	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-2ETE5TC	-1.6945806083819426	5.6921430971893034
biosynthes_6470-omicsintegrator2-params-XQYZBRY	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-K44Y7SY	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-RIX5P6Y	-1.0321506215801537	1.7507404894571965
biosynthes_6470-omicsintegrator2-params-KSSGLIJ	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-VOU2GLP	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-3XS3BUE	-2.0758628656230567	7.867150352985718
biosynthes_6470-omicsintegrator2-params-GWFZFC3	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-BBDIWEE	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-WSTZQ5T	-2.0758628656230567	7.867150352985718
biosynthes_6470-omicsintegrator2-params-FCBNYQN	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-ZK2ZPTQ	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-E7S3CYK	-1.0321506215801537	1.7507404894571965
biosynthes_6470-omicsintegrator2-params-JDGM2QR	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-2VM5MQL	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-O2NMIFG	-2.0758628656230567	7.867150352985718
biosynthes_6470-omicsintegrator2-params-GIILIYF	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-DGG4UVF	-2.373599407404166	-1.7183382544045624
biosynthes_6470-omicsintegrator2-params-CIOIRMT	-2.0758628656230567	7.867150352985718
