algorithm	labels
cysteine_a_8949-omicsintegrator2-params-NIXQON6	1
cysteine_a_8949-omicsintegrator2-params-I5EKII6	1
cysteine_a_8949-omicsintegrator2-params-ON3OUHY	1
cysteine_a_8949-omicsintegrator2-params-RCXKAY7	1
cysteine_a_8949-omicsintegrator2-params-KMHTT5N	1
cysteine_a_8949-omicsintegrator2-params-JHH34ZE	1
cysteine_a_8949-omicsintegrator2-params-Z2C4Y5G	1
cysteine_a_8949-omicsintegrator2-params-R2T74G3	1
cysteine_a_8949-omicsintegrator2-params-O3SYN4K	1
cysteine_a_8949-omicsintegrator2-params-K2CK6DC	3
cysteine_a_8949-omicsintegrator2-params-ISZN2DE	3
cysteine_a_8949-omicsintegrator2-params-J5QF4A3	4
cysteine_a_8949-omicsintegrator2-params-ROZICUS	1
cysteine_a_8949-omicsintegrator2-params-B6FPMEP	1
cysteine_a_8949-omicsintegrator2-params-G6QWKUF	1
cysteine_a_8949-omicsintegrator2-params-RNOITRI	1
cysteine_a_8949-omicsintegrator2-params-24QHVS5	1
cysteine_a_8949-omicsintegrator2-params-H5EGTCE	1
cysteine_a_8949-omicsintegrator2-params-SX6MWZF	3
cysteine_a_8949-omicsintegrator2-params-YYQQGSW	3
cysteine_a_8949-omicsintegrator2-params-VKYXWNI	5
cysteine_a_8949-omicsintegrator2-params-JMDFQGQ	2
cysteine_a_8949-omicsintegrator2-params-2WECIOD	2
cysteine_a_8949-omicsintegrator2-params-XLW3AU2	1
cysteine_a_8949-omicsintegrator2-params-TK757XH	1
cysteine_a_8949-omicsintegrator2-params-G3MKBIH	1
cysteine_a_8949-omicsintegrator2-params-62LFP5D	1
cysteine_a_8949-omicsintegrator2-params-QGDDCNR	3
cysteine_a_8949-omicsintegrator2-params-BERGTKM	3
cysteine_a_8949-omicsintegrator2-params-QUD5DGU	3
cysteine_a_8949-omicsintegrator2-params-VUTDEKI	3
cysteine_a_8949-omicsintegrator2-params-G5PCTWW	3
cysteine_a_8949-omicsintegrator2-params-BLZ4Z5H	3
cysteine_a_8949-omicsintegrator2-params-QA7UVT2	2
cysteine_a_8949-omicsintegrator2-params-EUXS342	2
cysteine_a_8949-omicsintegrator2-params-2ETE5TC	1
cysteine_a_8949-omicsintegrator2-params-XQYZBRY	3
cysteine_a_8949-omicsintegrator2-params-K44Y7SY	3
cysteine_a_8949-omicsintegrator2-params-RIX5P6Y	3
cysteine_a_8949-omicsintegrator2-params-KSSGLIJ	3
cysteine_a_8949-omicsintegrator2-params-VOU2GLP	3
cysteine_a_8949-omicsintegrator2-params-3XS3BUE	3
cysteine_a_8949-omicsintegrator2-params-GWFZFC3	3
cysteine_a_8949-omicsintegrator2-params-BBDIWEE	3
cysteine_a_8949-omicsintegrator2-params-WSTZQ5T	3
cysteine_a_8949-omicsintegrator2-params-FCBNYQN	3
cysteine_a_8949-omicsintegrator2-params-ZK2ZPTQ	3
cysteine_a_8949-omicsintegrator2-params-E7S3CYK	3
cysteine_a_8949-omicsintegrator2-params-JDGM2QR	3
cysteine_a_8949-omicsintegrator2-params-2VM5MQL	3
cysteine_a_8949-omicsintegrator2-params-O2NMIFG	3
cysteine_a_8949-omicsintegrator2-params-GIILIYF	3
cysteine_a_8949-omicsintegrator2-params-DGG4UVF	3
cysteine_a_8949-omicsintegrator2-params-CIOIRMT	3
