Node1	Node2	Frequency	Direction
ADH6_HUMAN	chebi:2560	0.7222222222222222	U
ADHX_HUMAN	chebi:2560	0.5555555555555556	U
AOC2_HUMAN	CP2C8_HUMAN	0.5555555555555556	U
CP343_HUMAN	chebi:3388	0.7777777777777778	U
GSTA2_HUMAN	chebi:1831	0.7777777777777778	U
CP343_HUMAN	GSTO2_HUMAN	0.5555555555555556	U
GSTO2_HUMAN	chebi:1831	0.7777777777777778	U
UD18_HUMAN	chebi:80580	0.7222222222222222	U
UD2A2_HUMAN	chebi:80580	0.7222222222222222	U
UDB15_HUMAN	chebi:80580	0.7222222222222222	U
chebi:16240	chebi:16842	0.5555555555555556	U
CP343_HUMAN	chebi:16714	0.5555555555555556	U
chebi:16714	chebi:16842	0.7777777777777778	U
chebi:16714	chebi:80580	0.7777777777777778	U
AOC2_HUMAN	chebi:16830	0.7777777777777778	U
AOFB_HUMAN	chebi:16830	0.7777777777777778	U
chebi:16714	chebi:17659	0.5555555555555556	U
MGST2_HUMAN	chebi:1831	0.7777777777777778	U
ADH4_HUMAN	chebi:2560	0.7222222222222222	U
ADH7_HUMAN	chebi:2560	0.7407407407407407	U
AL3A1_HUMAN	chebi:2560	0.5555555555555556	U
chebi:1831	chebi:2560	0.7962962962962963	U
CP2C8_HUMAN	chebi:3388	0.7777777777777778	U
CP2C8_HUMAN	chebi:4027	0.7777777777777778	U
CP343_HUMAN	chebi:6441	0.7777777777777778	U
chebi:39867	chebi:80634	0.7962962962962963	U
CP2C8_HUMAN	chebi:80636	0.7777777777777778	U
chebi:39867	chebi:80636	0.7962962962962963	U
CP343_HUMAN	chebi:80579	0.2222222222222222	U
chebi:16714	chebi:80579	0.2222222222222222	U
AOC2_HUMAN	chebi:28104	0.14814814814814814	U
chebi:16240	chebi:17790	0.14814814814814814	U
chebi:16842	chebi:17790	0.14814814814814814	U
chebi:2560	chebi:3410	0.2037037037037037	U
AL3A1_HUMAN	chebi:28104	0.14814814814814814	U
AL3A1_HUMAN	chebi:3410	0.2037037037037037	U
chebi:16240	chebi:6270	0.14814814814814814	U
chebi:16830	chebi:6270	0.14814814814814814	U
ADHX_HUMAN	chebi:80559	0.16666666666666666	U
chebi:2560	chebi:80559	0.16666666666666666	U
chebi:17200	chebi:80007	0.037037037037037035	U
chebi:17200	chebi:80580	0.037037037037037035	U
chebi:17659	chebi:80007	0.037037037037037035	U
