Node1	Node2	Frequency	Direction
AL3A2_HUMAN	TBA8_HUMAN	0.48148148148148145	U
TBA8_HUMAN	chebi:15453	0.6666666666666666	U
AL3A2_HUMAN	chebi:18020	0.6666666666666666	U
AL7A1_HUMAN	chebi:17917	0.6296296296296297	U
chebi:16927	chebi:17917	0.6296296296296297	U
AASS_HUMAN	AL3A2_HUMAN	0.4444444444444444	U
AASS_HUMAN	chebi:17917	0.4444444444444444	U
AL3A2_HUMAN	chebi:17415	0.09259259259259259	U
AL3A2_HUMAN	chebi:30860	0.09259259259259259	U
chebi:16927	chebi:30915	0.09259259259259259	U
chebi:17415	chebi:30915	0.09259259259259259	U
TBA8_HUMAN	chebi:27821	0.09259259259259259	U
chebi:27821	chebi:30860	0.09259259259259259	U
