algorithm	PC1	PC2
lysine_deg_3915-omicsintegrator2-params-NIXQON6	3.732334304168729	0.04577967537621315
lysine_deg_3915-omicsintegrator2-params-I5EKII6	3.732334304168729	0.04577967537621315
lysine_deg_3915-omicsintegrator2-params-ON3OUHY	3.732334304168729	0.04577967537621315
lysine_deg_3915-omicsintegrator2-params-RCXKAY7	3.732334304168729	0.04577967537621315
lysine_deg_3915-omicsintegrator2-params-KMHTT5N	3.732334304168729	0.04577967537621315
lysine_deg_3915-omicsintegrator2-params-JHH34ZE	3.732334304168729	0.04577967537621315
lysine_deg_3915-omicsintegrator2-params-Z2C4Y5G	3.732334304168729	0.04577967537621315
lysine_deg_3915-omicsintegrator2-params-R2T74G3	3.732334304168729	0.04577967537621315
lysine_deg_3915-omicsintegrator2-params-O3SYN4K	3.732334304168729	0.04577967537621315
lysine_deg_3915-omicsintegrator2-params-K2CK6DC	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-ISZN2DE	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-J5QF4A3	1.1933309451881262	-0.043368495546713084
lysine_deg_3915-omicsintegrator2-params-ROZICUS	3.732334304168729	0.04577967537621315
lysine_deg_3915-omicsintegrator2-params-B6FPMEP	3.732334304168729	0.04577967537621315
lysine_deg_3915-omicsintegrator2-params-G6QWKUF	3.732334304168729	0.04577967537621315
lysine_deg_3915-omicsintegrator2-params-RNOITRI	3.732334304168729	0.04577967537621315
lysine_deg_3915-omicsintegrator2-params-24QHVS5	3.732334304168729	0.04577967537621315
lysine_deg_3915-omicsintegrator2-params-H5EGTCE	3.732334304168729	0.04577967537621315
lysine_deg_3915-omicsintegrator2-params-SX6MWZF	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-YYQQGSW	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-VKYXWNI	0.36750271762198267	-0.06794857509810705
lysine_deg_3915-omicsintegrator2-params-JMDFQGQ	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-2WECIOD	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-XLW3AU2	1.1933309451881262	-0.043368495546713084
lysine_deg_3915-omicsintegrator2-params-TK757XH	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-G3MKBIH	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-62LFP5D	3.732334304168729	0.04577967537621315
lysine_deg_3915-omicsintegrator2-params-QGDDCNR	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-BERGTKM	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-QUD5DGU	-1.2514548224808657	-0.1108113092169835
lysine_deg_3915-omicsintegrator2-params-VUTDEKI	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-G5PCTWW	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-BLZ4Z5H	-1.952446801371122	3.992062233835963
lysine_deg_3915-omicsintegrator2-params-QA7UVT2	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-EUXS342	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-2ETE5TC	-1.952446801371122	3.992062233835963
lysine_deg_3915-omicsintegrator2-params-XQYZBRY	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-K44Y7SY	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-RIX5P6Y	-1.2514548224808657	-0.1108113092169835
lysine_deg_3915-omicsintegrator2-params-KSSGLIJ	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-VOU2GLP	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-3XS3BUE	-1.952446801371122	3.992062233835963
lysine_deg_3915-omicsintegrator2-params-GWFZFC3	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-BBDIWEE	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-WSTZQ5T	-1.952446801371122	3.992062233835963
lysine_deg_3915-omicsintegrator2-params-FCBNYQN	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-ZK2ZPTQ	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-E7S3CYK	-1.2514548224808657	-0.1108113092169835
lysine_deg_3915-omicsintegrator2-params-JDGM2QR	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-2VM5MQL	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-O2NMIFG	-1.952446801371122	3.992062233835963
lysine_deg_3915-omicsintegrator2-params-GIILIYF	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-DGG4UVF	-1.8077872384241764	-0.9306818736612579
lysine_deg_3915-omicsintegrator2-params-CIOIRMT	-1.952446801371122	3.992062233835963
