algorithm	PC1	PC2
metabolism_7505-omicsintegrator2-params-NIXQON6	7.882107138808946	-2.5831524997164057
metabolism_7505-omicsintegrator2-params-I5EKII6	7.882107138808946	-2.5831524997164057
metabolism_7505-omicsintegrator2-params-ON3OUHY	7.882107138808946	-2.5831524997164057
metabolism_7505-omicsintegrator2-params-RCXKAY7	7.882107138808946	-2.5831524997164057
metabolism_7505-omicsintegrator2-params-KMHTT5N	7.882107138808946	-2.5831524997164057
metabolism_7505-omicsintegrator2-params-JHH34ZE	7.882107138808946	-2.5831524997164057
metabolism_7505-omicsintegrator2-params-Z2C4Y5G	7.882107138808946	-2.5831524997164057
metabolism_7505-omicsintegrator2-params-R2T74G3	7.882107138808946	-2.5831524997164057
metabolism_7505-omicsintegrator2-params-O3SYN4K	7.882107138808946	-2.5831524997164057
metabolism_7505-omicsintegrator2-params-K2CK6DC	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-ISZN2DE	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-J5QF4A3	7.408616268166927	-2.3729769748336422
metabolism_7505-omicsintegrator2-params-ROZICUS	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-B6FPMEP	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-G6QWKUF	7.882107138808946	-2.5831524997164057
metabolism_7505-omicsintegrator2-params-RNOITRI	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-24QHVS5	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-H5EGTCE	7.882107138808946	-2.5831524997164057
metabolism_7505-omicsintegrator2-params-SX6MWZF	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-YYQQGSW	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-VKYXWNI	1.3884199705151203	2.504553589988507
metabolism_7505-omicsintegrator2-params-JMDFQGQ	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-2WECIOD	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-XLW3AU2	1.3884199705151203	2.504553589988507
metabolism_7505-omicsintegrator2-params-TK757XH	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-G3MKBIH	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-62LFP5D	1.3884199705151203	2.504553589988507
metabolism_7505-omicsintegrator2-params-QGDDCNR	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-BERGTKM	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-QUD5DGU	0.6230760453099268	3.9592675644090813
metabolism_7505-omicsintegrator2-params-VUTDEKI	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-G5PCTWW	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-BLZ4Z5H	0.6230760453099268	3.9592675644090813
metabolism_7505-omicsintegrator2-params-QA7UVT2	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-EUXS342	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-2ETE5TC	0.6230760453099268	3.9592675644090813
metabolism_7505-omicsintegrator2-params-XQYZBRY	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-K44Y7SY	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-RIX5P6Y	0.6230760453099268	3.9592675644090813
metabolism_7505-omicsintegrator2-params-KSSGLIJ	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-VOU2GLP	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-3XS3BUE	1.1317971096832107	10.717114873042984
metabolism_7505-omicsintegrator2-params-GWFZFC3	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-BBDIWEE	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-WSTZQ5T	1.1317971096832107	10.717114873042984
metabolism_7505-omicsintegrator2-params-FCBNYQN	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-ZK2ZPTQ	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-E7S3CYK	0.6230760453099268	3.9592675644090813
metabolism_7505-omicsintegrator2-params-JDGM2QR	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-2VM5MQL	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-O2NMIFG	1.3299985521564264	13.427364081106123
metabolism_7505-omicsintegrator2-params-GIILIYF	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-DGG4UVF	-3.543867541894655	-1.4937100676198338
metabolism_7505-omicsintegrator2-params-CIOIRMT	1.3299985521564264	13.427364081106123
