Node1	Node2	Frequency	Direction
ALG2_HUMAN	chebi:28067	0.6296296296296297	U
DOPP1_HUMAN	GPT_HUMAN	0.7037037037037037	U
GPT_HUMAN	MGT5A_HUMAN	0.5	U
GPT_HUMAN	MGT4B_HUMAN	0.5	U
MOGS_HUMAN	STT3B_HUMAN	0.7037037037037037	U
MOGS_HUMAN	chebi:59082	0.7222222222222222	U
DOPP1_HUMAN	STT3B_HUMAN	0.7037037037037037	U
MGT5A_HUMAN	chebi:17659	0.5	U
GANAB_HUMAN	chebi:59080	0.7222222222222222	U
chebi:59080	chebi:59082	0.7222222222222222	U
ALG11_HUMAN	ALG2_HUMAN	0.35185185185185186	U
ALG11_HUMAN	ALG3_HUMAN	0.35185185185185186	U
ALG3_HUMAN	DOPP1_HUMAN	0.35185185185185186	U
GPT_HUMAN	chebi:18278	0.037037037037037035	U
MGT5A_HUMAN	chebi:139510	0.037037037037037035	U
MGT4B_HUMAN	chebi:139507	0.037037037037037035	U
MGT5A_HUMAN	chebi:139507	0.037037037037037035	U
chebi:139510	chebi:17659	0.037037037037037035	U
chebi:17659	chebi:18278	0.037037037037037035	U
