algorithm	labels
porphyrin_5886-omicsintegrator2-params-NIXQON6	7
porphyrin_5886-omicsintegrator2-params-I5EKII6	7
porphyrin_5886-omicsintegrator2-params-ON3OUHY	7
porphyrin_5886-omicsintegrator2-params-RCXKAY7	7
porphyrin_5886-omicsintegrator2-params-KMHTT5N	7
porphyrin_5886-omicsintegrator2-params-JHH34ZE	7
porphyrin_5886-omicsintegrator2-params-Z2C4Y5G	7
porphyrin_5886-omicsintegrator2-params-R2T74G3	7
porphyrin_5886-omicsintegrator2-params-O3SYN4K	7
porphyrin_5886-omicsintegrator2-params-K2CK6DC	6
porphyrin_5886-omicsintegrator2-params-ISZN2DE	6
porphyrin_5886-omicsintegrator2-params-J5QF4A3	5
porphyrin_5886-omicsintegrator2-params-ROZICUS	7
porphyrin_5886-omicsintegrator2-params-B6FPMEP	7
porphyrin_5886-omicsintegrator2-params-G6QWKUF	7
porphyrin_5886-omicsintegrator2-params-RNOITRI	7
porphyrin_5886-omicsintegrator2-params-24QHVS5	7
porphyrin_5886-omicsintegrator2-params-H5EGTCE	7
porphyrin_5886-omicsintegrator2-params-SX6MWZF	6
porphyrin_5886-omicsintegrator2-params-YYQQGSW	6
porphyrin_5886-omicsintegrator2-params-VKYXWNI	5
porphyrin_5886-omicsintegrator2-params-JMDFQGQ	3
porphyrin_5886-omicsintegrator2-params-2WECIOD	8
porphyrin_5886-omicsintegrator2-params-XLW3AU2	4
porphyrin_5886-omicsintegrator2-params-TK757XH	3
porphyrin_5886-omicsintegrator2-params-G3MKBIH	8
porphyrin_5886-omicsintegrator2-params-62LFP5D	7
porphyrin_5886-omicsintegrator2-params-QGDDCNR	6
porphyrin_5886-omicsintegrator2-params-BERGTKM	6
porphyrin_5886-omicsintegrator2-params-QUD5DGU	5
porphyrin_5886-omicsintegrator2-params-VUTDEKI	2
porphyrin_5886-omicsintegrator2-params-G5PCTWW	3
porphyrin_5886-omicsintegrator2-params-BLZ4Z5H	4
porphyrin_5886-omicsintegrator2-params-QA7UVT2	2
porphyrin_5886-omicsintegrator2-params-EUXS342	3
porphyrin_5886-omicsintegrator2-params-2ETE5TC	9
porphyrin_5886-omicsintegrator2-params-XQYZBRY	6
porphyrin_5886-omicsintegrator2-params-K44Y7SY	6
porphyrin_5886-omicsintegrator2-params-RIX5P6Y	5
porphyrin_5886-omicsintegrator2-params-KSSGLIJ	2
porphyrin_5886-omicsintegrator2-params-VOU2GLP	1
porphyrin_5886-omicsintegrator2-params-3XS3BUE	0
porphyrin_5886-omicsintegrator2-params-GWFZFC3	2
porphyrin_5886-omicsintegrator2-params-BBDIWEE	1
porphyrin_5886-omicsintegrator2-params-WSTZQ5T	0
porphyrin_5886-omicsintegrator2-params-FCBNYQN	6
porphyrin_5886-omicsintegrator2-params-ZK2ZPTQ	6
porphyrin_5886-omicsintegrator2-params-E7S3CYK	5
porphyrin_5886-omicsintegrator2-params-JDGM2QR	2
porphyrin_5886-omicsintegrator2-params-2VM5MQL	1
porphyrin_5886-omicsintegrator2-params-O2NMIFG	0
porphyrin_5886-omicsintegrator2-params-GIILIYF	2
porphyrin_5886-omicsintegrator2-params-DGG4UVF	1
porphyrin_5886-omicsintegrator2-params-CIOIRMT	0
