algorithm	labels
propanoate_2520-omicsintegrator2-params-NIXQON6	2
propanoate_2520-omicsintegrator2-params-I5EKII6	2
propanoate_2520-omicsintegrator2-params-ON3OUHY	2
propanoate_2520-omicsintegrator2-params-RCXKAY7	2
propanoate_2520-omicsintegrator2-params-KMHTT5N	2
propanoate_2520-omicsintegrator2-params-JHH34ZE	2
propanoate_2520-omicsintegrator2-params-Z2C4Y5G	2
propanoate_2520-omicsintegrator2-params-R2T74G3	2
propanoate_2520-omicsintegrator2-params-O3SYN4K	2
propanoate_2520-omicsintegrator2-params-K2CK6DC	3
propanoate_2520-omicsintegrator2-params-ISZN2DE	3
propanoate_2520-omicsintegrator2-params-J5QF4A3	3
propanoate_2520-omicsintegrator2-params-ROZICUS	2
propanoate_2520-omicsintegrator2-params-B6FPMEP	2
propanoate_2520-omicsintegrator2-params-G6QWKUF	2
propanoate_2520-omicsintegrator2-params-RNOITRI	2
propanoate_2520-omicsintegrator2-params-24QHVS5	2
propanoate_2520-omicsintegrator2-params-H5EGTCE	2
propanoate_2520-omicsintegrator2-params-SX6MWZF	3
propanoate_2520-omicsintegrator2-params-YYQQGSW	3
propanoate_2520-omicsintegrator2-params-VKYXWNI	3
propanoate_2520-omicsintegrator2-params-JMDFQGQ	2
propanoate_2520-omicsintegrator2-params-2WECIOD	2
propanoate_2520-omicsintegrator2-params-XLW3AU2	2
propanoate_2520-omicsintegrator2-params-TK757XH	2
propanoate_2520-omicsintegrator2-params-G3MKBIH	2
propanoate_2520-omicsintegrator2-params-62LFP5D	2
propanoate_2520-omicsintegrator2-params-QGDDCNR	3
propanoate_2520-omicsintegrator2-params-BERGTKM	3
propanoate_2520-omicsintegrator2-params-QUD5DGU	3
propanoate_2520-omicsintegrator2-params-VUTDEKI	1
propanoate_2520-omicsintegrator2-params-G5PCTWW	1
propanoate_2520-omicsintegrator2-params-BLZ4Z5H	4
propanoate_2520-omicsintegrator2-params-QA7UVT2	2
propanoate_2520-omicsintegrator2-params-EUXS342	2
propanoate_2520-omicsintegrator2-params-2ETE5TC	2
propanoate_2520-omicsintegrator2-params-XQYZBRY	3
propanoate_2520-omicsintegrator2-params-K44Y7SY	3
propanoate_2520-omicsintegrator2-params-RIX5P6Y	3
propanoate_2520-omicsintegrator2-params-KSSGLIJ	1
propanoate_2520-omicsintegrator2-params-VOU2GLP	1
propanoate_2520-omicsintegrator2-params-3XS3BUE	0
propanoate_2520-omicsintegrator2-params-GWFZFC3	1
propanoate_2520-omicsintegrator2-params-BBDIWEE	1
propanoate_2520-omicsintegrator2-params-WSTZQ5T	0
propanoate_2520-omicsintegrator2-params-FCBNYQN	3
propanoate_2520-omicsintegrator2-params-ZK2ZPTQ	3
propanoate_2520-omicsintegrator2-params-E7S3CYK	3
propanoate_2520-omicsintegrator2-params-JDGM2QR	1
propanoate_2520-omicsintegrator2-params-2VM5MQL	1
propanoate_2520-omicsintegrator2-params-O2NMIFG	0
propanoate_2520-omicsintegrator2-params-GIILIYF	1
propanoate_2520-omicsintegrator2-params-DGG4UVF	1
propanoate_2520-omicsintegrator2-params-CIOIRMT	0
