Node1	Node2	Frequency	Direction
5NT1A_HUMAN	chebi:16192	0.7962962962962963	U
5NT1B_HUMAN	chebi:16192	0.7962962962962963	U
ADK_HUMAN	PDE6C_HUMAN	0.5555555555555556	U
5NT1B_HUMAN	DGUOK_HUMAN	0.7962962962962963	U
ENTP3_HUMAN	PAPS2_HUMAN	0.5555555555555556	U
ENTP3_HUMAN	chebi:17202	0.5555555555555556	U
CNRG_HUMAN	GUC2D_HUMAN	0.7407407407407407	U
GUC2D_HUMAN	PDE6C_HUMAN	0.7407407407407407	U
GUC2D_HUMAN	PDE8A_HUMAN	0.7407407407407407	U
IMDH2_HUMAN	chebi:17202	0.7777777777777778	U
NDK3_HUMAN	PDE6C_HUMAN	0.5925925925925926	U
NDK3_HUMAN	chebi:32816	0.5555555555555556	U
NDK7_HUMAN	PDE6C_HUMAN	0.5925925925925926	U
NDKA_HUMAN	PDE6C_HUMAN	0.5925925925925926	U
NDKB_HUMAN	PDE6C_HUMAN	0.5555555555555556	U
PAPS2_HUMAN	PDE6C_HUMAN	0.5555555555555556	U
GUC2D_HUMAN	PDE6D_HUMAN	0.7222222222222222	U
5NT1A_HUMAN	TYPH_HUMAN	0.7962962962962963	U
chebi:15422	chebi:16192	0.7777777777777778	U
chebi:15422	chebi:17422	0.7777777777777778	U
chebi:15422	chebi:29888	0.5555555555555556	U
chebi:17202	chebi:17808	0.7777777777777778	U
PAPS2_HUMAN	chebi:17709	0.7592592592592593	U
chebi:17709	chebi:17980	0.7777777777777778	U
chebi:17202	chebi:29888	0.7777777777777778	U
ADK_HUMAN	PUR4_HUMAN	0.4444444444444444	U
PUR4_HUMAN	chebi:18050	0.4444444444444444	U
chebi:15422	chebi:85981	0.2222222222222222	U
chebi:29888	chebi:85981	0.2222222222222222	U
chebi:17709	chebi:26078	0.12962962962962962	U
chebi:17808	chebi:26078	0.12962962962962962	U
IMDH2_HUMAN	chebi:80612	0.16666666666666666	U
chebi:18050	chebi:80612	0.16666666666666666	U
GUC2D_HUMAN	chebi:15996	0.1111111111111111	U
chebi:15422	chebi:15996	0.1111111111111111	U
PUR4_HUMAN	chebi:18413	0.07407407407407407	U
chebi:17544	chebi:18050	0.07407407407407407	U
chebi:18050	chebi:18413	0.07407407407407407	U
chebi:17544	chebi:32816	0.07407407407407407	U
ENTP3_HUMAN	chebi:18075	0.037037037037037035	U
ADK_HUMAN	PDE8A_HUMAN	0.037037037037037035	U
chebi:15422	chebi:18075	0.037037037037037035	U
