algorithm	PC1	PC2
pyrimidine_1423-omicsintegrator2-params-NIXQON6	6.5182041691834085	0.14562249243536263
pyrimidine_1423-omicsintegrator2-params-I5EKII6	6.5182041691834085	0.14562249243536263
pyrimidine_1423-omicsintegrator2-params-ON3OUHY	6.5182041691834085	0.14562249243536263
pyrimidine_1423-omicsintegrator2-params-RCXKAY7	6.5182041691834085	0.14562249243536263
pyrimidine_1423-omicsintegrator2-params-KMHTT5N	6.5182041691834085	0.14562249243536263
pyrimidine_1423-omicsintegrator2-params-JHH34ZE	6.5182041691834085	0.14562249243536263
pyrimidine_1423-omicsintegrator2-params-Z2C4Y5G	6.5182041691834085	0.14562249243536263
pyrimidine_1423-omicsintegrator2-params-R2T74G3	6.5182041691834085	0.14562249243536263
pyrimidine_1423-omicsintegrator2-params-O3SYN4K	6.5182041691834085	0.14562249243536263
pyrimidine_1423-omicsintegrator2-params-K2CK6DC	-2.13849164099597	-2.3656364730371173
pyrimidine_1423-omicsintegrator2-params-ISZN2DE	-2.13849164099597	-2.3656364730371173
pyrimidine_1423-omicsintegrator2-params-J5QF4A3	5.04997679084689	0.15922451807465818
pyrimidine_1423-omicsintegrator2-params-ROZICUS	-1.759704864122079	-2.4236305708474943
pyrimidine_1423-omicsintegrator2-params-B6FPMEP	-1.759704864122079	-2.4236305708474943
pyrimidine_1423-omicsintegrator2-params-G6QWKUF	6.5182041691834085	0.14562249243536263
pyrimidine_1423-omicsintegrator2-params-RNOITRI	6.5182041691834085	0.14562249243536263
pyrimidine_1423-omicsintegrator2-params-24QHVS5	6.5182041691834085	0.14562249243536263
pyrimidine_1423-omicsintegrator2-params-H5EGTCE	6.5182041691834085	0.14562249243536263
pyrimidine_1423-omicsintegrator2-params-SX6MWZF	-2.13849164099597	-2.3656364730371173
pyrimidine_1423-omicsintegrator2-params-YYQQGSW	-2.13849164099597	-2.3656364730371173
pyrimidine_1423-omicsintegrator2-params-VKYXWNI	-1.1123935937890732	4.609616637367459
pyrimidine_1423-omicsintegrator2-params-JMDFQGQ	-1.759704864122079	-2.4236305708474943
pyrimidine_1423-omicsintegrator2-params-2WECIOD	-1.759704864122079	-2.4236305708474943
pyrimidine_1423-omicsintegrator2-params-XLW3AU2	-1.960004670201966	4.957782114477576
pyrimidine_1423-omicsintegrator2-params-TK757XH	-1.759704864122079	-2.4236305708474943
pyrimidine_1423-omicsintegrator2-params-G3MKBIH	-1.759704864122079	-2.4236305708474943
pyrimidine_1423-omicsintegrator2-params-62LFP5D	6.5182041691834085	0.14562249243536263
pyrimidine_1423-omicsintegrator2-params-QGDDCNR	-2.13849164099597	-2.3656364730371173
pyrimidine_1423-omicsintegrator2-params-BERGTKM	-2.13849164099597	-2.3656364730371173
pyrimidine_1423-omicsintegrator2-params-QUD5DGU	-2.103344133794032	4.381534792027114
pyrimidine_1423-omicsintegrator2-params-VUTDEKI	-2.9861027174088624	-2.0174709959270016
pyrimidine_1423-omicsintegrator2-params-G5PCTWW	-2.9861027174088624	-2.0174709959270016
pyrimidine_1423-omicsintegrator2-params-BLZ4Z5H	-3.3954040239549546	6.317336190234091
pyrimidine_1423-omicsintegrator2-params-QA7UVT2	-2.9861027174088624	-2.0174709959270016
pyrimidine_1423-omicsintegrator2-params-EUXS342	-2.9861027174088624	-2.0174709959270016
pyrimidine_1423-omicsintegrator2-params-2ETE5TC	-2.1690061706681707	5.911176615313598
pyrimidine_1423-omicsintegrator2-params-XQYZBRY	-2.13849164099597	-2.3656364730371173
pyrimidine_1423-omicsintegrator2-params-K44Y7SY	-2.13849164099597	-2.3656364730371173
pyrimidine_1423-omicsintegrator2-params-RIX5P6Y	-2.103344133794032	4.381534792027114
pyrimidine_1423-omicsintegrator2-params-KSSGLIJ	-2.9861027174088624	-2.0174709959270016
pyrimidine_1423-omicsintegrator2-params-VOU2GLP	-2.9861027174088624	-2.0174709959270016
pyrimidine_1423-omicsintegrator2-params-3XS3BUE	-3.3954040239549546	6.317336190234091
pyrimidine_1423-omicsintegrator2-params-GWFZFC3	-2.9861027174088624	-2.0174709959270016
pyrimidine_1423-omicsintegrator2-params-BBDIWEE	-2.9861027174088624	-2.0174709959270016
pyrimidine_1423-omicsintegrator2-params-WSTZQ5T	-3.3954040239549546	6.317336190234091
pyrimidine_1423-omicsintegrator2-params-FCBNYQN	-2.13849164099597	-2.3656364730371173
pyrimidine_1423-omicsintegrator2-params-ZK2ZPTQ	-2.13849164099597	-2.3656364730371173
pyrimidine_1423-omicsintegrator2-params-E7S3CYK	-2.103344133794032	4.381534792027114
pyrimidine_1423-omicsintegrator2-params-JDGM2QR	-2.9861027174088624	-2.0174709959270016
pyrimidine_1423-omicsintegrator2-params-2VM5MQL	-2.9861027174088624	-2.0174709959270016
pyrimidine_1423-omicsintegrator2-params-O2NMIFG	-3.3954040239549546	6.317336190234091
pyrimidine_1423-omicsintegrator2-params-GIILIYF	-2.9861027174088624	-2.0174709959270016
pyrimidine_1423-omicsintegrator2-params-DGG4UVF	-2.9861027174088624	-2.0174709959270016
pyrimidine_1423-omicsintegrator2-params-CIOIRMT	-3.3954040239549546	6.317336190234091
