algorithm	labels
pyrimidine_3799-omicsintegrator2-params-NIXQON6	2
pyrimidine_3799-omicsintegrator2-params-I5EKII6	2
pyrimidine_3799-omicsintegrator2-params-ON3OUHY	2
pyrimidine_3799-omicsintegrator2-params-RCXKAY7	2
pyrimidine_3799-omicsintegrator2-params-KMHTT5N	2
pyrimidine_3799-omicsintegrator2-params-JHH34ZE	2
pyrimidine_3799-omicsintegrator2-params-Z2C4Y5G	2
pyrimidine_3799-omicsintegrator2-params-R2T74G3	2
pyrimidine_3799-omicsintegrator2-params-O3SYN4K	2
pyrimidine_3799-omicsintegrator2-params-K2CK6DC	1
pyrimidine_3799-omicsintegrator2-params-ISZN2DE	1
pyrimidine_3799-omicsintegrator2-params-J5QF4A3	4
pyrimidine_3799-omicsintegrator2-params-ROZICUS	3
pyrimidine_3799-omicsintegrator2-params-B6FPMEP	3
pyrimidine_3799-omicsintegrator2-params-G6QWKUF	2
pyrimidine_3799-omicsintegrator2-params-RNOITRI	2
pyrimidine_3799-omicsintegrator2-params-24QHVS5	2
pyrimidine_3799-omicsintegrator2-params-H5EGTCE	2
pyrimidine_3799-omicsintegrator2-params-SX6MWZF	1
pyrimidine_3799-omicsintegrator2-params-YYQQGSW	1
pyrimidine_3799-omicsintegrator2-params-VKYXWNI	1
pyrimidine_3799-omicsintegrator2-params-JMDFQGQ	0
pyrimidine_3799-omicsintegrator2-params-2WECIOD	0
pyrimidine_3799-omicsintegrator2-params-XLW3AU2	5
pyrimidine_3799-omicsintegrator2-params-TK757XH	0
pyrimidine_3799-omicsintegrator2-params-G3MKBIH	0
pyrimidine_3799-omicsintegrator2-params-62LFP5D	6
pyrimidine_3799-omicsintegrator2-params-QGDDCNR	1
pyrimidine_3799-omicsintegrator2-params-BERGTKM	1
pyrimidine_3799-omicsintegrator2-params-QUD5DGU	1
pyrimidine_3799-omicsintegrator2-params-VUTDEKI	0
pyrimidine_3799-omicsintegrator2-params-G5PCTWW	0
pyrimidine_3799-omicsintegrator2-params-BLZ4Z5H	0
pyrimidine_3799-omicsintegrator2-params-QA7UVT2	0
pyrimidine_3799-omicsintegrator2-params-EUXS342	0
pyrimidine_3799-omicsintegrator2-params-2ETE5TC	0
pyrimidine_3799-omicsintegrator2-params-XQYZBRY	1
pyrimidine_3799-omicsintegrator2-params-K44Y7SY	1
pyrimidine_3799-omicsintegrator2-params-RIX5P6Y	1
pyrimidine_3799-omicsintegrator2-params-KSSGLIJ	0
pyrimidine_3799-omicsintegrator2-params-VOU2GLP	0
pyrimidine_3799-omicsintegrator2-params-3XS3BUE	0
pyrimidine_3799-omicsintegrator2-params-GWFZFC3	0
pyrimidine_3799-omicsintegrator2-params-BBDIWEE	0
pyrimidine_3799-omicsintegrator2-params-WSTZQ5T	0
pyrimidine_3799-omicsintegrator2-params-FCBNYQN	1
pyrimidine_3799-omicsintegrator2-params-ZK2ZPTQ	1
pyrimidine_3799-omicsintegrator2-params-E7S3CYK	1
pyrimidine_3799-omicsintegrator2-params-JDGM2QR	0
pyrimidine_3799-omicsintegrator2-params-2VM5MQL	0
pyrimidine_3799-omicsintegrator2-params-O2NMIFG	0
pyrimidine_3799-omicsintegrator2-params-GIILIYF	0
pyrimidine_3799-omicsintegrator2-params-DGG4UVF	0
pyrimidine_3799-omicsintegrator2-params-CIOIRMT	0
