algorithm	PC1	PC2
selenocomp_8078-omicsintegrator2-params-NIXQON6	4.366721185606302	-0.19398051479025155
selenocomp_8078-omicsintegrator2-params-I5EKII6	4.366721185606302	-0.19398051479025155
selenocomp_8078-omicsintegrator2-params-ON3OUHY	4.366721185606302	-0.19398051479025155
selenocomp_8078-omicsintegrator2-params-RCXKAY7	4.366721185606302	-0.19398051479025155
selenocomp_8078-omicsintegrator2-params-KMHTT5N	4.366721185606302	-0.19398051479025155
selenocomp_8078-omicsintegrator2-params-JHH34ZE	4.366721185606302	-0.19398051479025155
selenocomp_8078-omicsintegrator2-params-Z2C4Y5G	4.366721185606302	-0.19398051479025155
selenocomp_8078-omicsintegrator2-params-R2T74G3	4.366721185606302	-0.19398051479025155
selenocomp_8078-omicsintegrator2-params-O3SYN4K	4.366721185606302	-0.19398051479025155
selenocomp_8078-omicsintegrator2-params-K2CK6DC	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-ISZN2DE	1.2093123161009898	2.963428354715055
selenocomp_8078-omicsintegrator2-params-J5QF4A3	1.2093123161009898	2.963428354715055
selenocomp_8078-omicsintegrator2-params-ROZICUS	4.366721185606302	-0.19398051479025155
selenocomp_8078-omicsintegrator2-params-B6FPMEP	4.366721185606302	-0.19398051479025155
selenocomp_8078-omicsintegrator2-params-G6QWKUF	4.366721185606302	-0.19398051479025155
selenocomp_8078-omicsintegrator2-params-RNOITRI	4.366721185606302	-0.19398051479025155
selenocomp_8078-omicsintegrator2-params-24QHVS5	4.366721185606302	-0.19398051479025155
selenocomp_8078-omicsintegrator2-params-H5EGTCE	4.366721185606302	-0.19398051479025155
selenocomp_8078-omicsintegrator2-params-SX6MWZF	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-YYQQGSW	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-VKYXWNI	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-JMDFQGQ	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-2WECIOD	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-XLW3AU2	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-TK757XH	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-G3MKBIH	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-62LFP5D	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-QGDDCNR	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-BERGTKM	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-QUD5DGU	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-VUTDEKI	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-G5PCTWW	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-BLZ4Z5H	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-QA7UVT2	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-EUXS342	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-2ETE5TC	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-XQYZBRY	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-K44Y7SY	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-RIX5P6Y	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-KSSGLIJ	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-VOU2GLP	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-3XS3BUE	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-GWFZFC3	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-BBDIWEE	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-WSTZQ5T	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-FCBNYQN	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-ZK2ZPTQ	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-E7S3CYK	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-JDGM2QR	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-2VM5MQL	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-O2NMIFG	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-GIILIYF	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-DGG4UVF	-1.8356606058458516	-0.08154456723179174
selenocomp_8078-omicsintegrator2-params-CIOIRMT	-1.8356606058458516	-0.08154456723179174
