Node1	Node2	Directionality
AL3A2_HUMAN	chebi:16002	U
AL3A2_HUMAN	chebi:18268	U
CHEBI:18066	UGDH_HUMAN	U
CHEBI:18066	chebi:17200	U
CHEBI:52249	UGDH_HUMAN	U
CHEBI:52249	chebi:17200	U
MIOX_HUMAN	CHEBI:4178	U
MIOX_HUMAN	CHEBI:47952	U
UGDH_HUMAN	UD110_HUMAN	U
UGDH_HUMAN	UD11_HUMAN	U
UGDH_HUMAN	UD13_HUMAN	U
UGDH_HUMAN	UD14_HUMAN	U
UGDH_HUMAN	UD15_HUMAN	U
UGDH_HUMAN	UD16_HUMAN	U
UGDH_HUMAN	UD17_HUMAN	U
UGDH_HUMAN	UD18_HUMAN	U
UGDH_HUMAN	UD19_HUMAN	U
UGDH_HUMAN	UD2A1_HUMAN	U
UGDH_HUMAN	UD2A2_HUMAN	U
UGDH_HUMAN	UD2A3_HUMAN	U
UGDH_HUMAN	UDB10_HUMAN	U
UGDH_HUMAN	UDB11_HUMAN	U
UGDH_HUMAN	UDB15_HUMAN	U
UGDH_HUMAN	UDB17_HUMAN	U
UGDH_HUMAN	UDB28_HUMAN	U
UGDH_HUMAN	UD2B4_HUMAN	U
UGDH_HUMAN	UD2B7_HUMAN	U
UGDH_HUMAN	chebi:17200	U
UD110_HUMAN	CHEBI:4178	U
UD110_HUMAN	CHEBI:47952	U
UD110_HUMAN	chebi:17659	U
UD11_HUMAN	CHEBI:4178	U
UD11_HUMAN	CHEBI:47952	U
UD11_HUMAN	chebi:17659	U
UD13_HUMAN	CHEBI:4178	U
UD13_HUMAN	CHEBI:47952	U
UD13_HUMAN	chebi:17659	U
UD14_HUMAN	CHEBI:4178	U
UD14_HUMAN	CHEBI:47952	U
UD14_HUMAN	chebi:17659	U
UD15_HUMAN	CHEBI:4178	U
UD15_HUMAN	CHEBI:47952	U
UD15_HUMAN	chebi:17659	U
UD16_HUMAN	CHEBI:4178	U
UD16_HUMAN	CHEBI:47952	U
UD16_HUMAN	chebi:17659	U
UD17_HUMAN	CHEBI:4178	U
UD17_HUMAN	CHEBI:47952	U
UD17_HUMAN	chebi:17659	U
UD18_HUMAN	CHEBI:4178	U
UD18_HUMAN	CHEBI:47952	U
UD18_HUMAN	chebi:17659	U
UD19_HUMAN	CHEBI:4178	U
UD19_HUMAN	CHEBI:47952	U
UD19_HUMAN	chebi:17659	U
UD2A1_HUMAN	CHEBI:4178	U
UD2A1_HUMAN	CHEBI:47952	U
UD2A1_HUMAN	chebi:17659	U
UD2A2_HUMAN	CHEBI:4178	U
UD2A2_HUMAN	CHEBI:47952	U
UD2A2_HUMAN	chebi:17659	U
UD2A3_HUMAN	CHEBI:4178	U
UD2A3_HUMAN	CHEBI:47952	U
UD2A3_HUMAN	chebi:17659	U
UDB10_HUMAN	CHEBI:4178	U
UDB10_HUMAN	CHEBI:47952	U
UDB10_HUMAN	chebi:17659	U
UDB11_HUMAN	CHEBI:4178	U
UDB11_HUMAN	CHEBI:47952	U
UDB11_HUMAN	chebi:17659	U
UDB15_HUMAN	CHEBI:4178	U
UDB15_HUMAN	CHEBI:47952	U
UDB15_HUMAN	chebi:17659	U
UDB17_HUMAN	CHEBI:4178	U
UDB17_HUMAN	CHEBI:47952	U
UDB17_HUMAN	chebi:17659	U
UDB28_HUMAN	CHEBI:4178	U
UDB28_HUMAN	CHEBI:47952	U
UDB28_HUMAN	chebi:17659	U
UD2B4_HUMAN	CHEBI:4178	U
UD2B4_HUMAN	CHEBI:47952	U
UD2B4_HUMAN	chebi:17659	U
UD2B7_HUMAN	CHEBI:4178	U
UD2B7_HUMAN	CHEBI:47952	U
UD2B7_HUMAN	chebi:17659	U
chebi:16002	AL3A2_HUMAN	U
chebi:16002	chebi:18268	U
chebi:17200	CHEBI:4178	U
chebi:17200	CHEBI:47952	U
chebi:17200	UD110_HUMAN	U
chebi:17200	UD11_HUMAN	U
chebi:17200	UD13_HUMAN	U
chebi:17200	UD14_HUMAN	U
chebi:17200	UD15_HUMAN	U
chebi:17200	UD16_HUMAN	U
chebi:17200	UD17_HUMAN	U
chebi:17200	UD18_HUMAN	U
chebi:17200	UD19_HUMAN	U
chebi:17200	UD2A1_HUMAN	U
chebi:17200	UD2A2_HUMAN	U
chebi:17200	UD2A3_HUMAN	U
chebi:17200	UDB10_HUMAN	U
chebi:17200	UDB11_HUMAN	U
chebi:17200	UDB15_HUMAN	U
chebi:17200	UDB17_HUMAN	U
chebi:17200	UDB28_HUMAN	U
chebi:17200	UD2B4_HUMAN	U
chebi:17200	UD2B7_HUMAN	U
chebi:17200	chebi:17659	U
chebi:17268	CHEBI:4178	U
chebi:17268	CHEBI:47952	U
chebi:17268	MIOX_HUMAN	U
chebi:18268	AL3A2_HUMAN	U
chebi:18268	chebi:16002	U
