Node1	Node2	Directionality
SNAT_HUMAN	ASMT_HUMAN	U
SNAT_HUMAN	DLDH_HUMAN	U
SNAT_HUMAN	ODO2_HUMAN	U
SNAT_HUMAN	I23O2_HUMAN	U
SNAT_HUMAN	INMT_HUMAN	U
SNAT_HUMAN	OGDHL_HUMAN	U
SNAT_HUMAN	ODO1_HUMAN	U
SNAT_HUMAN	chebi:15346	U
SNAT_HUMAN	chebi:15351	U
SNAT_HUMAN	chebi:17697	U
SNAT_HUMAN	chebi:28790	U
KFA_HUMAN	DDC_HUMAN	U
KFA_HUMAN	chebi:30751	U
KFA_HUMAN	chebi:30754	U
KFA_HUMAN	chebi:36408	U
AL3A2_HUMAN	AOXA_HUMAN	U
AL3A2_HUMAN	ASMT_HUMAN	U
AL3A2_HUMAN	chebi:16411	U
AL3A2_HUMAN	chebi:18086	U
AL3A2_HUMAN	chebi:27823	U
AL3A2_HUMAN	chebi:50157	U
AOC1_HUMAN	AL3A2_HUMAN	U
AOC1_HUMAN	AOXA_HUMAN	U
AOC1_HUMAN	OXLA_HUMAN	U
AOC1_HUMAN	chebi:16134	U
AOC1_HUMAN	chebi:16240	U
AOC1_HUMAN	chebi:18086	U
AOC2_HUMAN	AL3A2_HUMAN	U
AOC2_HUMAN	AOXA_HUMAN	U
AOC2_HUMAN	OXLA_HUMAN	U
AOC2_HUMAN	chebi:16134	U
AOC2_HUMAN	chebi:16240	U
AOC2_HUMAN	chebi:18086	U
AOC2_HUMAN	chebi:28799	U
AOC2_HUMAN	chebi:28883	U
AOC3_HUMAN	AL3A2_HUMAN	U
AOC3_HUMAN	AOXA_HUMAN	U
AOC3_HUMAN	OXLA_HUMAN	U
AOC3_HUMAN	chebi:16134	U
AOC3_HUMAN	chebi:16240	U
AOC3_HUMAN	chebi:18086	U
AOC3_HUMAN	chebi:28799	U
AOC3_HUMAN	chebi:28883	U
AOXA_HUMAN	AL3A2_HUMAN	U
AOXA_HUMAN	ASMT_HUMAN	U
AOXA_HUMAN	OXLA_HUMAN	U
AOXA_HUMAN	chebi:16240	U
AOXA_HUMAN	chebi:27823	U
AOXA_HUMAN	chebi:50157	U
ASMT_HUMAN	SNAT_HUMAN	U
ASMT_HUMAN	CHEBI:15414	U
ASMT_HUMAN	CP1A2_HUMAN	U
ASMT_HUMAN	I23O2_HUMAN	U
ASMT_HUMAN	INMT_HUMAN	U
ASMT_HUMAN	chebi:16680	U
ASMT_HUMAN	chebi:16796	U
ASMT_HUMAN	chebi:17697	U
ASMT_HUMAN	chebi:28281	U
CATA_HUMAN	AOXA_HUMAN	U
CATA_HUMAN	OXLA_HUMAN	U
CATA_HUMAN	chebi:16240	U
CATA_HUMAN	chebi:18421	U
CATA_HUMAN	chebi:3715	U
CHEBI:15414	ASMT_HUMAN	U
CHEBI:15414	INMT_HUMAN	U
CHEBI:15414	chebi:16680	U
CHEBI:15414	chebi:16765	U
CHEBI:15414	chebi:16796	U
CHEBI:15414	chebi:17697	U
CHEBI:15414	chebi:27823	U
CHEBI:15414	chebi:28136	U
CHEBI:15414	chebi:28281	U
CHEBI:15414	chebi:28790	U
CHEBI:15414	chebi:48294	U
CHEBI:2065	KFA_HUMAN	U
CHEBI:2065	chebi:30751	U
CHEBI:2065	chebi:36408	U
CHEBI:30249	KYNU_HUMAN	U
CHEBI:30249	chebi:16977	U
CHEBI:30249	chebi:36575	U
CP1A2_HUMAN	chebi:2198	U
DDC_HUMAN	AOC1_HUMAN	U
DDC_HUMAN	AOC2_HUMAN	U
DDC_HUMAN	AOC3_HUMAN	U
DDC_HUMAN	OXLA_HUMAN	U
DDC_HUMAN	INMT_HUMAN	U
DDC_HUMAN	AOFA_HUMAN	U
DDC_HUMAN	AOFB_HUMAN	U
DDC_HUMAN	SYWM_HUMAN	U
DDC_HUMAN	chebi:16765	U
DDC_HUMAN	chebi:16828	U
DDC_HUMAN	chebi:28715	U
DLDH_HUMAN	chebi:15524	U
ODO2_HUMAN	chebi:15524	U
ECHP_HUMAN	chebi:15345	U
ECHP_HUMAN	chebi:15453	U
HCDH_HUMAN	chebi:15345	U
HCDH_HUMAN	chebi:15453	U
HCD2_HUMAN	chebi:15345	U
HCD2_HUMAN	chebi:15453	U
I23O2_HUMAN	KFA_HUMAN	U
I23O2_HUMAN	CHEBI:2065	U
I23O2_HUMAN	chebi:194285	U
I23O2_HUMAN	chebi:28736	U
OXLA_HUMAN	AOXA_HUMAN	U
OXLA_HUMAN	DDC_HUMAN	U
OXLA_HUMAN	SYWM_HUMAN	U
OXLA_HUMAN	chebi:16134	U
OXLA_HUMAN	chebi:16240	U
OXLA_HUMAN	chebi:16828	U
OXLA_HUMAN	chebi:29750	U
INMT_HUMAN	ASMT_HUMAN	U
INMT_HUMAN	chebi:16680	U
INMT_HUMAN	chebi:28136	U
INMT_HUMAN	chebi:48294	U
KMO_HUMAN	KAT1_HUMAN	U
KMO_HUMAN	KYNU_HUMAN	U
KMO_HUMAN	chebi:16946	U
KMO_HUMAN	chebi:17380	U
KAT1_HUMAN	KMO_HUMAN	U
KAT1_HUMAN	chebi:16015	U
KAT1_HUMAN	chebi:16946	U
KAT1_HUMAN	chebi:17442	U
KAT1_HUMAN	chebi:27593	U
KAT1_HUMAN	chebi:30915	U
KYNU_HUMAN	KFA_HUMAN	U
KYNU_HUMAN	CATA_HUMAN	U
KYNU_HUMAN	KMO_HUMAN	U
KYNU_HUMAN	KAT1_HUMAN	U
KYNU_HUMAN	chebi:15793	U
KYNU_HUMAN	chebi:16977	U
KYNU_HUMAN	chebi:17380	U
KYNU_HUMAN	chebi:36575	U
AOFA_HUMAN	AL3A2_HUMAN	U
AOFA_HUMAN	AOXA_HUMAN	U
AOFA_HUMAN	OXLA_HUMAN	U
AOFA_HUMAN	chebi:16134	U
AOFA_HUMAN	chebi:16240	U
AOFA_HUMAN	chebi:18086	U
AOFA_HUMAN	chebi:28799	U
AOFA_HUMAN	chebi:28883	U
AOFB_HUMAN	AL3A2_HUMAN	U
AOFB_HUMAN	AOXA_HUMAN	U
AOFB_HUMAN	OXLA_HUMAN	U
AOFB_HUMAN	chebi:16134	U
AOFB_HUMAN	chebi:16240	U
AOFB_HUMAN	chebi:18086	U
AOFB_HUMAN	chebi:28799	U
AOFB_HUMAN	chebi:28883	U
OGDHL_HUMAN	chebi:15524	U
ODO1_HUMAN	chebi:15524	U
TBA8_HUMAN	chebi:15345	U
TBA8_HUMAN	chebi:15453	U
SYWM_HUMAN	chebi:16027	U
SYWM_HUMAN	chebi:29159	U
chebi:15345	ECHP_HUMAN	U
chebi:15345	HCDH_HUMAN	U
chebi:15345	HCD2_HUMAN	U
chebi:15345	TBA8_HUMAN	U
chebi:15345	chebi:15453	U
chebi:15346	SNAT_HUMAN	U
chebi:15346	DLDH_HUMAN	U
chebi:15346	ODO2_HUMAN	U
chebi:15346	OGDHL_HUMAN	U
chebi:15346	ODO1_HUMAN	U
chebi:15346	chebi:15351	U
chebi:15346	chebi:15524	U
chebi:15346	chebi:15753	U
chebi:15346	chebi:17697	U
chebi:15346	chebi:28790	U
chebi:15351	SNAT_HUMAN	U
chebi:15351	chebi:15346	U
chebi:15351	chebi:17697	U
chebi:15351	chebi:28790	U
chebi:15453	ECHP_HUMAN	U
chebi:15453	HCDH_HUMAN	U
chebi:15453	HCD2_HUMAN	U
chebi:15453	TBA8_HUMAN	U
chebi:15453	chebi:15345	U
chebi:15753	DLDH_HUMAN	U
chebi:15753	ODO2_HUMAN	U
chebi:15753	OGDHL_HUMAN	U
chebi:15753	ODO1_HUMAN	U
chebi:15753	chebi:15524	U
chebi:15793	CATA_HUMAN	U
chebi:15793	KYNU_HUMAN	U
chebi:15793	chebi:16240	U
chebi:15793	chebi:16977	U
chebi:15793	chebi:17380	U
chebi:15793	chebi:18421	U
chebi:15793	chebi:3715	U
chebi:16015	KAT1_HUMAN	U
chebi:16015	chebi:16946	U
chebi:16015	chebi:17442	U
chebi:16015	chebi:30915	U
chebi:16134	OXLA_HUMAN	U
chebi:16134	chebi:16240	U
chebi:16134	chebi:16828	U
chebi:16134	chebi:29750	U
chebi:16240	AOXA_HUMAN	U
chebi:16240	OXLA_HUMAN	U
chebi:16240	chebi:16828	U
chebi:16240	chebi:27823	U
chebi:16240	chebi:29750	U
chebi:16240	chebi:50157	U
chebi:16411	AL3A2_HUMAN	U
chebi:16411	chebi:18086	U
chebi:16526	chebi:16765	U
chebi:16680	ASMT_HUMAN	U
chebi:16680	CHEBI:15414	U
chebi:16680	chebi:16796	U
chebi:16680	chebi:17697	U
chebi:16765	AOC1_HUMAN	U
chebi:16765	AOC2_HUMAN	U
chebi:16765	AOC3_HUMAN	U
chebi:16765	DDC_HUMAN	U
chebi:16765	INMT_HUMAN	U
chebi:16765	AOFA_HUMAN	U
chebi:16765	AOFB_HUMAN	U
chebi:16765	chebi:16134	U
chebi:16765	chebi:16240	U
chebi:16765	chebi:16680	U
chebi:16765	chebi:16828	U
chebi:16765	chebi:18086	U
chebi:16765	chebi:28136	U
chebi:16796	ASMT_HUMAN	U
chebi:16796	CHEBI:15414	U
chebi:16796	CP1A2_HUMAN	U
chebi:16796	I23O2_HUMAN	U
chebi:16796	chebi:17697	U
chebi:16796	chebi:194285	U
chebi:16796	chebi:2198	U
chebi:16828	DDC_HUMAN	U
chebi:16828	OXLA_HUMAN	U
chebi:16828	SYWM_HUMAN	U
chebi:16828	chebi:16027	U
chebi:16828	chebi:16134	U
chebi:16828	chebi:16240	U
chebi:16828	chebi:16765	U
chebi:16828	chebi:29159	U
chebi:16828	chebi:29181	U
chebi:16828	chebi:29750	U
chebi:16946	KMO_HUMAN	U
chebi:16946	KAT1_HUMAN	U
chebi:16946	chebi:16015	U
chebi:16946	chebi:17380	U
chebi:16946	chebi:17442	U
chebi:16946	chebi:30915	U
chebi:16977	KYNU_HUMAN	U
chebi:16977	chebi:17380	U
chebi:17380	KMO_HUMAN	U
chebi:17380	KAT1_HUMAN	U
chebi:17380	KYNU_HUMAN	U
chebi:17380	chebi:15793	U
chebi:17380	chebi:16015	U
chebi:17380	chebi:16946	U
chebi:17380	chebi:16977	U
chebi:17380	chebi:27593	U
chebi:17380	chebi:30915	U
chebi:17442	KAT1_HUMAN	U
chebi:17442	chebi:16946	U
chebi:17442	chebi:30915	U
chebi:17697	SNAT_HUMAN	U
chebi:17697	ASMT_HUMAN	U
chebi:17697	chebi:15351	U
chebi:17697	chebi:16680	U
chebi:17697	chebi:16796	U
chebi:17697	chebi:28790	U
chebi:17780	CHEBI:2065	U
chebi:17780	I23O2_HUMAN	U
chebi:18086	AL3A2_HUMAN	U
chebi:18086	chebi:16411	U
chebi:27421	AOC2_HUMAN	U
chebi:27421	AOC3_HUMAN	U
chebi:27421	AOFA_HUMAN	U
chebi:27421	AOFB_HUMAN	U
chebi:27421	chebi:16134	U
chebi:27421	chebi:16240	U
chebi:27421	chebi:28883	U
chebi:27823	AL3A2_HUMAN	U
chebi:27823	AOXA_HUMAN	U
chebi:27823	ASMT_HUMAN	U
chebi:27823	chebi:16680	U
chebi:27823	chebi:28281	U
chebi:27823	chebi:50157	U
chebi:28715	AOC2_HUMAN	U
chebi:28715	AOC3_HUMAN	U
chebi:28715	AOFA_HUMAN	U
chebi:28715	AOFB_HUMAN	U
chebi:28715	chebi:16134	U
chebi:28715	chebi:16240	U
chebi:28715	chebi:28799	U
chebi:28790	SNAT_HUMAN	U
chebi:28790	I23O2_HUMAN	U
chebi:28790	INMT_HUMAN	U
chebi:28790	chebi:15346	U
chebi:28790	chebi:16680	U
chebi:28790	chebi:17697	U
chebi:28790	chebi:28736	U
chebi:28790	chebi:48294	U
chebi:29181	SYWM_HUMAN	U
chebi:29181	chebi:16027	U
chebi:29181	chebi:29159	U
chebi:29750	OXLA_HUMAN	U
chebi:29750	chebi:16828	U
chebi:30915	KAT1_HUMAN	U
chebi:30915	chebi:16015	U
chebi:30915	chebi:17442	U
chebi:30915	chebi:27593	U
chebi:36408	DDC_HUMAN	U
chebi:36408	chebi:28715	U
chebi:36575	KFA_HUMAN	U
chebi:36575	chebi:30751	U
chebi:36575	chebi:30754	U
chebi:50157	AL3A2_HUMAN	U
chebi:50157	AOXA_HUMAN	U
chebi:50157	chebi:16240	U
chebi:50157	chebi:27823	U
chebi:7282	KFA_HUMAN	U
