	file_name	precision	recall	thresholds	average_precision
0	vitamin_b6_metabolis_train_1175.csv	[0. 0. 0. ... 0. 0. 1.]	[1. 1. 1. ... 1. 1. 0.]	[0.04978353 0.0500779  0.05021047 ... 0.15894184 0.15906404 0.15910637]	-0.0
1	vitamin_b6_metabolis_train_3756.csv	"[9.89653176e-06 9.89662970e-06 9.89667867e-06 ... 5.00000000e-01
 1.00000000e+00 1.00000000e+00]"	[1. 1. 1. ... 1. 1. 0.]	[0.01461539 0.01468741 0.01469137 ... 0.99177176 0.9964426  0.99982965]	1.0
2	vitamin_b6_metabolis_train_3761.csv	[0. 0. 0. ... 0. 0. 1.]	[1. 1. 1. ... 1. 1. 0.]	[0.04978353 0.0500779  0.05021047 ... 0.15894184 0.15906404 0.15910637]	-0.0
3	vitamin_b6_metabolis_train_6075.csv	[0. 0. 0. ... 0. 0. 1.]	[1. 1. 1. ... 1. 1. 0.]	[0.04978353 0.0500779  0.05021047 ... 0.15894184 0.15906404 0.15910637]	-0.0
4	vitamin_b6_metabolis_train_7692.csv	[0. 0. 0. ... 0. 0. 1.]	[1. 1. 1. ... 1. 1. 0.]	[0.04978353 0.0500779  0.05021047 ... 0.15894184 0.15906404 0.15910637]	-0.0
5	vitamin_b6_metabolis_train_2567.csv	[0. 0. 0. ... 0. 0. 1.]	[1. 1. 1. ... 1. 1. 0.]	[0.04978353 0.0500779  0.05021047 ... 0.15894184 0.15906404 0.15910637]	-0.0
6	vitamin_b6_metabolis_train_7405.csv	"[2.96893015e-05 2.96894484e-05 2.96895953e-05 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]"	[1.         1.         1.         ... 0.66666667 0.16666667 0.        ]	[0.0137422  0.01380942 0.01381142 ... 0.9999926  0.9999968  0.9999976 ]	1.0
7	vitamin_b6_metabolis_train_1544.csv	"[9.89653176e-06 9.89658073e-06 9.89662970e-06 ... 5.00000000e-01
 1.00000000e+00 1.00000000e+00]"	[1. 1. 1. ... 1. 1. 0.]	[0.01400023 0.01401058 0.01403594 ... 0.99177176 0.9964426  0.99983263]	1.0
8	vitamin_b6_metabolis_train_6815.csv	"[2.96893015e-05 2.96894484e-05 2.96895953e-05 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]"	[1.         1.         1.         ... 0.83333333 0.33333333 0.        ]	[0.01401597 0.01402632 0.01405172 ... 0.99996006 0.99999857 0.9999989 ]	0.976190476190476
9	valine,_leucine_and__train_7776.csv	"[9.89653176e-06 9.89662970e-06 9.89667867e-06 ... 6.66666667e-01
 1.00000000e+00 1.00000000e+00]"	[1. 1. 1. ... 1. 1. 0.]	[0.01484791 0.01485765 0.01485899 ... 0.9984174  0.9996878  0.9998503 ]	1.0
10	valine,_leucine_and__train_7495.csv	"[2.96893015e-05 2.96895953e-05 2.96897422e-05 ... 7.50000000e-01
 1.00000000e+00 1.00000000e+00]"	[1.  1.  1.  ... 0.5 0.5 0. ]	[0.01486668 0.01487644 0.01487777 ... 0.9998332  0.9999701  0.9999857 ]	0.9206349206349207
11	valine,_leucine_and__train_1385.csv	"[1.97929656e-05 1.97930635e-05 1.97931615e-05 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]"	[1.   1.   1.   ... 1.   0.25 0.  ]	[0.01440224 0.01442449 0.01443572 ... 0.996783   0.99978024 0.9999244 ]	1.0
12	valine,_leucine_and__train_1950.csv	"[2.96893015e-05 2.96894484e-05 2.96895953e-05 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]"	[1.         1.         1.         ... 0.66666667 0.16666667 0.        ]	[0.01374531 0.01381256 0.01381455 ... 0.9999815  0.99999523 0.9999962 ]	0.9523809523809524
13	valine,_leucine_and__train_4369.csv	"[3.95855394e-05 3.95857353e-05 3.95859312e-05 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]"	[1.   1.   1.   ... 0.5  0.25 0.  ]	[0.01373085 0.01379802 0.01380002 ... 0.9998349  0.99998903 0.9999968 ]	1.0
