Node1	Node2	Directionality
THIM_HUMAN	ACADL_HUMAN	U
THIM_HUMAN	ACADM_HUMAN	U
THIM_HUMAN	ACDSB_HUMAN	U
THIM_HUMAN	ACADS_HUMAN	U
THIM_HUMAN	THIL_HUMAN	U
THIM_HUMAN	ACOX1	U
THIM_HUMAN	ACOX3_HUMAN	U
THIM_HUMAN	ACSL4_HUMAN	U
THIM_HUMAN	CPT1A_HUMAN	U
THIM_HUMAN	CPT1B_HUMAN	U
THIM_HUMAN	CPT1C_HUMAN	U
THIM_HUMAN	CPT2_HUMAN	U
THIM_HUMAN	MECR_HUMAN	U
THIM_HUMAN	chebi:15346	U
THIM_HUMAN	chebi:15351	U
THIM_HUMAN	chebi:15517	U
THIM_HUMAN	chebi:15533	U
THIM_HUMAN	chebi:27540	U
THIM_HUMAN	chebi:27648	U
THIM_HUMAN	chebi:27868	U
THIM_HUMAN	chebi:28264	U
THIM_HUMAN	chebi:28493	U
THIM_HUMAN	chebi:28528	U
ACADL_HUMAN	THIM_HUMAN	U
ACADL_HUMAN	ACADM_HUMAN	U
ACADL_HUMAN	ACDSB_HUMAN	U
ACADL_HUMAN	ACADS_HUMAN	U
ACADL_HUMAN	ACADV_HUMAN	U
ACADL_HUMAN	ACOX1	U
ACADL_HUMAN	ACOX3_HUMAN	U
ACADL_HUMAN	ACSL4_HUMAN	U
ACADL_HUMAN	CPT1A_HUMAN	U
ACADL_HUMAN	CPT1B_HUMAN	U
ACADL_HUMAN	CPT1C_HUMAN	U
ACADL_HUMAN	CPT2_HUMAN	U
ACADL_HUMAN	ECHM_HUMAN	U
ACADL_HUMAN	GCDH_HUMAN	U
ACADL_HUMAN	MECR_HUMAN	U
ACADL_HUMAN	chebi:10723	U
ACADL_HUMAN	chebi:15471	U
ACADL_HUMAN	chebi:15521	U
ACADL_HUMAN	chebi:15525	U
ACADL_HUMAN	chebi:15532	U
ACADL_HUMAN	chebi:15533	U
ACADL_HUMAN	chebi:16238	U
ACADL_HUMAN	chebi:27537	U
ACADL_HUMAN	chebi:27540	U
ACADL_HUMAN	chebi:27721	U
ACADL_HUMAN	chebi:28493	U
ACADL_HUMAN	chebi:28706	U
ACADL_HUMAN	chebi:28935	U
ACADM_HUMAN	THIM_HUMAN	U
ACADM_HUMAN	ACADL_HUMAN	U
ACADM_HUMAN	ACDSB_HUMAN	U
ACADM_HUMAN	ACADS_HUMAN	U
ACADM_HUMAN	ACADV_HUMAN	U
ACADM_HUMAN	THIL_HUMAN	U
ACADM_HUMAN	ACOX1	U
ACADM_HUMAN	ACOX3_HUMAN	U
ACADM_HUMAN	ACSL4_HUMAN	U
ACADM_HUMAN	CPT1A_HUMAN	U
ACADM_HUMAN	CPT1B_HUMAN	U
ACADM_HUMAN	CPT1C_HUMAN	U
ACADM_HUMAN	CPT2_HUMAN	U
ACADM_HUMAN	ECHM_HUMAN	U
ACADM_HUMAN	GCDH_HUMAN	U
ACADM_HUMAN	MECR_HUMAN	U
ACADM_HUMAN	chebi:10723	U
ACADM_HUMAN	chebi:15471	U
ACADM_HUMAN	chebi:15517	U
ACADM_HUMAN	chebi:15521	U
ACADM_HUMAN	chebi:15525	U
ACADM_HUMAN	chebi:15532	U
ACADM_HUMAN	chebi:15533	U
ACADM_HUMAN	chebi:16238	U
ACADM_HUMAN	chebi:27537	U
ACADM_HUMAN	chebi:27540	U
ACADM_HUMAN	chebi:27721	U
ACADM_HUMAN	chebi:28493	U
ACADM_HUMAN	chebi:28706	U
ACADM_HUMAN	chebi:28935	U
ACADM_HUMAN	chebi:36926	U
ACADS_HUMAN	THIM_HUMAN	U
ACADS_HUMAN	ACADL_HUMAN	U
ACADS_HUMAN	ACADM_HUMAN	U
ACADS_HUMAN	ACDSB_HUMAN	U
ACADS_HUMAN	ACADV_HUMAN	U
ACADS_HUMAN	THIL_HUMAN	U
ACADS_HUMAN	ACOX1	U
ACADS_HUMAN	ACOX3_HUMAN	U
ACDSB_HUMAN	THIM_HUMAN	U
ACDSB_HUMAN	ACADL_HUMAN	U
ACDSB_HUMAN	ACADM_HUMAN	U
ACDSB_HUMAN	ACADS_HUMAN	U
ACDSB_HUMAN	ACADV_HUMAN	U
ACDSB_HUMAN	THIL_HUMAN	U
ACDSB_HUMAN	ACOX1	U
ACDSB_HUMAN	ACOX3_HUMAN	U
ACDSB_HUMAN	ECHM_HUMAN	U
ACDSB_HUMAN	GCDH_HUMAN	U
ACDSB_HUMAN	MECR_HUMAN	U
ACDSB_HUMAN	chebi:15517	U
ACDSB_HUMAN	chebi:16238	U
ACDSB_HUMAN	chebi:27540	U
ACDSB_HUMAN	chebi:28706	U
ACDSB_HUMAN	chebi:36926	U
ACADS_HUMAN	ECHM_HUMAN	U
ACADS_HUMAN	GCDH_HUMAN	U
ACADS_HUMAN	MECR_HUMAN	U
ACADS_HUMAN	chebi:15517	U
ACADS_HUMAN	chebi:16238	U
ACADS_HUMAN	chebi:27540	U
ACADS_HUMAN	chebi:28706	U
ACADS_HUMAN	chebi:36926	U
ACADV_HUMAN	ACADL_HUMAN	U
ACADV_HUMAN	ACADM_HUMAN	U
ACADV_HUMAN	ACDSB_HUMAN	U
ACADV_HUMAN	ACADS_HUMAN	U
ACADV_HUMAN	ACOX1	U
ACADV_HUMAN	ACOX3_HUMAN	U
ACADV_HUMAN	ACSL4_HUMAN	U
ACADV_HUMAN	CPT1A_HUMAN	U
ACADV_HUMAN	CPT1B_HUMAN	U
ACADV_HUMAN	CPT1C_HUMAN	U
ACADV_HUMAN	CPT2_HUMAN	U
ACADV_HUMAN	ECHM_HUMAN	U
ACADV_HUMAN	GCDH_HUMAN	U
ACADV_HUMAN	MECR_HUMAN	U
ACADV_HUMAN	chebi:15525	U
ACADV_HUMAN	chebi:15532	U
ACADV_HUMAN	chebi:16238	U
ACADV_HUMAN	chebi:27721	U
ACADV_HUMAN	chebi:28935	U
THIL_HUMAN	THIM_HUMAN	U
THIL_HUMAN	ACADM_HUMAN	U
THIL_HUMAN	ACDSB_HUMAN	U
THIL_HUMAN	ACADS_HUMAN	U
THIL_HUMAN	ACOX3_HUMAN	U
THIL_HUMAN	ACSL4_HUMAN	U
THIL_HUMAN	CPT1A_HUMAN	U
THIL_HUMAN	CPT1B_HUMAN	U
THIL_HUMAN	CPT1C_HUMAN	U
THIL_HUMAN	CPT2_HUMAN	U
THIL_HUMAN	chebi:15346	U
THIL_HUMAN	chebi:15351	U
THIL_HUMAN	chebi:15517	U
THIL_HUMAN	chebi:27648	U
ACOX1	THIM_HUMAN	U
ACOX1	ACADL_HUMAN	U
ACOX1	ACADM_HUMAN	U
ACOX1	ACDSB_HUMAN	U
ACOX1	ACADS_HUMAN	U
ACOX1	ACADV_HUMAN	U
ACOX1	ACOX3_HUMAN	U
ACOX1	ECHM_HUMAN	U
ACOX1	GCDH_HUMAN	U
ACOX1	chebi:10723	U
ACOX1	chebi:15471	U
ACOX1	chebi:15521	U
ACOX1	chebi:15532	U
ACOX1	chebi:15533	U
ACOX1	chebi:16238	U
ACOX1	chebi:27537	U
ACOX1	chebi:27721	U
ACOX1	chebi:28493	U
ACOX3_HUMAN	THIM_HUMAN	U
ACOX3_HUMAN	ACADL_HUMAN	U
ACOX3_HUMAN	ACADM_HUMAN	U
ACOX3_HUMAN	ACDSB_HUMAN	U
ACOX3_HUMAN	ACADS_HUMAN	U
ACOX3_HUMAN	ACADV_HUMAN	U
ACOX3_HUMAN	THIL_HUMAN	U
ACOX3_HUMAN	ACOX1	U
ACOX3_HUMAN	ACSL4_HUMAN	U
ACOX3_HUMAN	CPT1A_HUMAN	U
ACOX3_HUMAN	CPT1B_HUMAN	U
ACOX3_HUMAN	CPT1C_HUMAN	U
ACOX3_HUMAN	CPT2_HUMAN	U
ACOX3_HUMAN	ECHM_HUMAN	U
ACOX3_HUMAN	GCDH_HUMAN	U
ACOX3_HUMAN	MECR_HUMAN	U
ACOX3_HUMAN	chebi:10723	U
ACOX3_HUMAN	chebi:15471	U
ACOX3_HUMAN	chebi:15517	U
ACOX3_HUMAN	chebi:15521	U
ACOX3_HUMAN	chebi:15525	U
ACOX3_HUMAN	chebi:15532	U
ACOX3_HUMAN	chebi:15533	U
ACOX3_HUMAN	chebi:16238	U
ACOX3_HUMAN	chebi:27537	U
ACOX3_HUMAN	chebi:27540	U
ACOX3_HUMAN	chebi:27721	U
ACOX3_HUMAN	chebi:28493	U
ACOX3_HUMAN	chebi:28706	U
ACOX3_HUMAN	chebi:28935	U
ACOX3_HUMAN	chebi:36926	U
ACSL4_HUMAN	THIM_HUMAN	U
ACSL4_HUMAN	ACADL_HUMAN	U
ACSL4_HUMAN	ACADM_HUMAN	U
ACSL4_HUMAN	ACADV_HUMAN	U
ACSL4_HUMAN	THIL_HUMAN	U
ACSL4_HUMAN	ACOX3_HUMAN	U
ACSL4_HUMAN	CPT1A_HUMAN	U
ACSL4_HUMAN	CPT1B_HUMAN	U
ACSL4_HUMAN	CPT1C_HUMAN	U
ACSL4_HUMAN	CPT2_HUMAN	U
ACSL4_HUMAN	chebi:15346	U
ACSL4_HUMAN	chebi:15525	U
ACSL4_HUMAN	chebi:15756	U
ACSL4_HUMAN	chebi:16027	U
ADH1A_HUMAN	chebi:15734	U
ADH1A_HUMAN	chebi:17478	U
ADH1B_HUMAN	chebi:15734	U
ADH1B_HUMAN	chebi:17478	U
ADH1G_HUMAN	chebi:15734	U
ADH1G_HUMAN	chebi:17478	U
ADH4_HUMAN	chebi:15734	U
ADH4_HUMAN	chebi:17478	U
ADHX_HUMAN	chebi:15734	U
ADHX_HUMAN	chebi:17478	U
ADH6_HUMAN	chebi:15734	U
ADH6_HUMAN	chebi:17478	U
ADH7_HUMAN	chebi:15734	U
ADH7_HUMAN	chebi:17478	U
AL3A1_HUMAN	ADH1A_HUMAN	U
AL3A1_HUMAN	ADH1B_HUMAN	U
AL3A1_HUMAN	ADH1G_HUMAN	U
AL3A1_HUMAN	ADH4_HUMAN	U
AL3A1_HUMAN	ADHX_HUMAN	U
AL3A1_HUMAN	ADH6_HUMAN	U
AL3A1_HUMAN	ADH7_HUMAN	U
AL3A1_HUMAN	chebi:17478	U
AL3A2_HUMAN	ADH1A_HUMAN	U
AL3A2_HUMAN	ADH1B_HUMAN	U
AL3A2_HUMAN	ADH1G_HUMAN	U
AL3A2_HUMAN	ADH4_HUMAN	U
AL3A2_HUMAN	ADHX_HUMAN	U
AL3A2_HUMAN	ADH6_HUMAN	U
AL3A2_HUMAN	ADH7_HUMAN	U
AL3A2_HUMAN	chebi:17478	U
CHEBI:28002	ECI2	U
CHEBI:28002	chebi:28387	U
CPT1A_HUMAN	THIM_HUMAN	U
CPT1A_HUMAN	ACADL_HUMAN	U
CPT1A_HUMAN	ACADM_HUMAN	U
