Node1	Node2	Directionality
ACSA_HUMAN	ADPGK_HUMAN	U
ACSA_HUMAN	ODP2_HUMAN	U
ACSA_HUMAN	chebi:15351	U
ACSA_HUMAN	chebi:16027	U
ADH1A_HUMAN	AL3A1_HUMAN	U
ADH1A_HUMAN	AL3A2_HUMAN	U
ADH1A_HUMAN	chebi:15343	U
ADH1A_HUMAN	chebi:16236	U
ADH1B_HUMAN	AL3A1_HUMAN	U
ADH1B_HUMAN	AL3A2_HUMAN	U
ADH1B_HUMAN	chebi:15343	U
ADH1B_HUMAN	chebi:16236	U
ADH1G_HUMAN	AL3A1_HUMAN	U
ADH1G_HUMAN	AL3A2_HUMAN	U
ADH1G_HUMAN	chebi:15343	U
ADH1G_HUMAN	chebi:16236	U
ADH4_HUMAN	AL3A1_HUMAN	U
ADH4_HUMAN	AL3A2_HUMAN	U
ADH4_HUMAN	chebi:15343	U
ADH4_HUMAN	chebi:16236	U
ADHX_HUMAN	AL3A1_HUMAN	U
ADHX_HUMAN	AL3A2_HUMAN	U
ADHX_HUMAN	chebi:15343	U
ADHX_HUMAN	chebi:16236	U
ADH6_HUMAN	AL3A1_HUMAN	U
ADH6_HUMAN	AL3A2_HUMAN	U
ADH6_HUMAN	chebi:15343	U
ADH6_HUMAN	chebi:16236	U
ADH7_HUMAN	AL3A1_HUMAN	U
ADH7_HUMAN	AL3A2_HUMAN	U
ADH7_HUMAN	chebi:15343	U
ADH7_HUMAN	chebi:16236	U
ADPGK_HUMAN	G6PC1	U
ADPGK_HUMAN	G6PC2_HUMAN	U
ADPGK_HUMAN	GALM_HUMAN	U
ADPGK_HUMAN	HXK4_HUMAN	U
ADPGK_HUMAN	G6PI_HUMAN	U
ADPGK_HUMAN	HXK1_HUMAN	U
ADPGK_HUMAN	HXK2_HUMAN	U
ADPGK_HUMAN	HXK3_HUMAN	U
ADPGK_HUMAN	HKDC1_HUMAN	U
ADPGK_HUMAN	PGM1_HUMAN	U
ADPGK_HUMAN	PGM2_HUMAN	U
ADPGK_HUMAN	chebi:15903	U
ADPGK_HUMAN	chebi:16027	U
ADPGK_HUMAN	chebi:17665	U
ADPGK_HUMAN	chebi:17719	U
ADPGK_HUMAN	chebi:17925	U
AK1A1_HUMAN	AL3A1_HUMAN	U
